,FIPS,yPLL,yPLLBlack,yPLLHisp,yPLLWhite,fairPoorHealthPerct,physUnhealthDaysAvgNum,mentalHealthDaysAvgNum,lowBirthWeightPerct,lowBirthWeightPerctBlack,lowBirthWeightPerctHisp,lowBirthWeightPerctWhite,smokersPerct,obesePerct,foodEnvIndex,physInactivePerct,exerciseAccessPerct,excessDrinkPerct,alcImpairedDriveDeathNum,drivingDeathsNum,alcImpairedDriveDeathPerct,chlamydiaCaseNum,chlamydiaCaseRate,teenBirthRate,teenBirthRateBlack,teenBirthRateHisp,teenBirthRateWhite,uninsuredNum,uninsuredPerct,primCarePhysNum,primCarePhysRate,dentistsNum,dentistsRate,mentalHealthProvidNum,mentalHealthProvidRate,preventableHospStaysNum,preventableHospStaysNumBlack,preventableHospStaysNumHisp,preventableHospStaysNumWhite,mammScreenedPerct,mammScreenedPerctBlack,mammScreenedPerctHisp,mammScreenedPerctWhite,fluVaccinatedPerct,fluVaccinatedPerctBlack,fluVaccinatedHisp,fluVaccinatedWhite,hSchoolGradCohortSize,hSchoolGradRate,someCollegeNum,someCollegePop,someCollegePerct,unemployedNum,laborForceNum,unemployedPerct,childrenInPovertyPerct,childrenInPovertyPerctBlack,childrenInPovertyPerctHisp,childrenInPovertyPerctWhite,incomeInequalityPerct80Th,incomeInequalityPerct20Th,incomeInequalityRatio,childSingleParentHouseholdsNum,HouseholdsNum,childSingleParentHouseholdsPerct,socialAssociationsNum,socialAssociationsRate,annAvgViolentCrimes,annAvgViolentCrimesRate,injuryDeathsNum,injuryDeathsRate,airPollutionAvgDailyPM25,SevereHousingProblemsPerct,SevereHousingProblemsCostBurden,SevereHousingProblemsOvercrowding,SevereHousingProblemsInadequateFacilities,driveAlonePerct,driveAlonePerctBlack,driveAlonePerctHisp,driveAlonePerctWhite,longCommuteWorkersDriveAloneNum,longCommuteWorkersDriveAlonePerct,lifeExpect,prematureAAMortalityNum,childMortalityRate,infantMortalityRate,freqPhysDistressPerct,freqMentalDistressPerct,diabeticPerct,HIVprevRate,foodInsecurePerct,foodLimitedAccessPerct,drugODRate,MVmortalityRate,insufficientSleepPerct,adultUninsuredPerct,childUinsuredPerct,disconYouthPerct,householdIncome,householdIncomeBlack,householdIncomeHisp,householdIncomeWHite,childrenFreeLunchPerct,residentialBlackWhiteSeg,nonwhiteWhiteSegIdx,homicideRate,firearmFatalitiesRate,homeownershipPerct,severeHousingCostBurdenPerct,pop,popUnder18,popOver65Perct,popBlackPerct,popNativePerct,popAsianPerct,popHawaiinIslanderPerct,popHispPerct,popNonHispWhitePerct,popNoEnglishPerct,popFemalePerct,popRuralPerct
lifeExpect,-0.047971817,-0.929442256,-0.564402759,-0.411014792,-0.771334528,-0.042555877,-0.175623221,-0.275959644,-0.211252788,-0.212177218,0.017986176,-0.263892916,-0.396366957,-0.2959814,0.363283104,-0.460116957,0.25478357,0.091490447,0.116698334,0.126687414,0.045690152,0.157698143,0.013896562,-0.254370703,-0.495182287,-0.224720744,-0.578302496,0.149977802,-0.008015736,0.266751157,0.250868073,0.157691171,0.08765684,0.207594386,0.227557484,-0.296222878,0.037520063,-0.069616852,-0.286006614,0.140792213,0.005906571,0.158929224,0.195538309,0.105183278,0.09513662,0.133629989,0.0794454,0.295987721,-0.060125492,0.144757089,0.138260237,0.212599092,0.11051114,0.156838706,-0.302901422,-0.287233347,-0.344102614,-0.129154024,-0.294835651,0.313368214,0.286021038,-0.067525272,0.114936965,0.143316885,-0.187292553,0.097733172,-0.265093508,0.046462093,-0.239104529,0.099602462,-0.585625766,0.005839533,0.125791703,0.082381247,0.197701289,-0.128720358,-0.194806178,-0.080192218,-0.073956514,-0.269001942,0.141051593,-0.008869083,1,-0.956197137,-0.571194226,-0.6751097,-0.150406827,-0.251421143,-0.349379561,-0.021512845,-0.45356781,-0.033316748,-0.41676387,-0.495924556,-0.072080323,-0.032602915,-0.008004918,-0.318012422,0.330794236,0.62230934,0.211780134,0.432822874,-0.149166909,0.09519726,-0.032917167,-0.52046525,-0.557533312,-0.155009655,0.023601889,0.140496747,0.132365111,-0.242222699,-0.273029916,-0.157984455,0.259694695,0.155585489,0.343791411,-0.291708058,0.343042302,0.008485846,-0.249610401
householdIncomeBlack,-0.066351973,-0.632110844,-0.500494223,-0.268796804,-0.455639436,-0.25100478,-0.41568217,-0.497421496,-0.129462682,-0.218226768,0.08574062,-0.131165715,-0.489033373,-0.080357423,0.57207233,-0.462043923,0.247712814,0.430471676,0.415530593,0.427203403,0.041999586,0.408864293,-0.002764984,-0.264122303,-0.58078579,-0.3461634,-0.43982914,0.507055516,-0.313766623,0.459062533,0.16658726,0.497955316,0.266459477,0.383192355,0.136637064,-0.128119119,-0.094566301,-0.004335333,-0.228989912,0.214036001,0.159613844,0.205073993,0.220300997,0.230591239,0.083636043,0.255522989,0.199885421,0.453802694,-0.076344879,0.518493728,0.500481474,0.420312828,0.480267131,0.522015401,-0.273952702,-0.497622199,-0.60172147,-0.282407868,-0.396000373,0.581377271,0.630848991,-0.322521366,0.472894526,0.52366899,-0.300362968,0.435585121,-0.565054354,0.400605315,-0.076042278,0.412849327,-0.57469393,0.243767699,0.08835064,0.103678665,0.173823092,-0.182767858,-0.03997061,0.057548054,-0.042136582,-0.253431768,0.520985917,0.246641236,0.62230934,-0.599482929,-0.439947429,-0.47778969,-0.401776505,-0.520777111,-0.499420608,-0.06963069,-0.50448782,-0.223198014,-0.361817796,-0.46267674,-0.078599485,-0.280135025,-0.34429489,-0.217823653,0.593115167,1,0.418792543,0.640375564,-0.344749741,0.078019369,-0.078156501,-0.419985768,-0.412030569,-0.142926685,0.075459643,0.503109799,0.355783302,-0.529909121,-0.268652698,-0.171792235,0.327839625,0.33433846,0.290342553,-0.272705284,0.149239836,0.074183322,-0.457448904
householdIncomeWHite,-0.04652921,-0.57250431,-0.37753152,-0.327878573,-0.547167488,-0.264410122,-0.49717242,-0.640211521,-0.089398262,-0.074519013,0.01974786,-0.135356145,-0.52377643,-0.052106843,0.496166516,-0.331145043,0.228798644,0.543340342,0.33631358,0.375299413,0.009224774,0.350144629,0.039888348,-0.228051252,-0.412999282,-0.185067435,-0.41815258,0.337843232,-0.332979572,0.333316572,0.136571686,0.341183411,0.180750243,0.345176229,0.167227299,-0.112975095,-0.012720692,0.00962097,-0.153510384,0.204485279,0.097519946,0.077519056,0.250273314,0.198643616,0.144689092,0.198090955,0.225714117,0.451836353,-0.008202896,0.365563615,0.356427136,0.31671074,0.312743447,0.37117156,-0.337175364,-0.6019176,-0.458018765,-0.291556164,-0.567636625,0.799545379,0.72003837,-0.237651394,0.311576511,0.364455116,-0.318820763,0.320887226,-0.286976046,0.325248086,0.118541685,0.31253858,-0.424393591,0.185131698,0.057349451,0.013855227,0.227298102,-0.185596367,-0.020854346,0.028691983,-0.045332608,-0.00702858,0.366375866,0.179875626,0.432822874,-0.495528268,-0.434300712,-0.42849256,-0.472661706,-0.641201717,-0.429822307,0.059044096,-0.403674368,-0.245394132,-0.334293213,-0.393560339,-0.0470034,-0.31433477,-0.192202703,-0.412371898,0.722609436,0.640375564,0.561344394,1,-0.421912539,0.025133152,-0.023494074,-0.310418701,-0.431089624,-0.108346254,-0.048299688,0.339002853,0.372456139,-0.507233287,-0.002176091,-0.125330135,0.297975616,0.184674375,0.23804948,-0.249205083,0.223611806,-0.04645646,-0.317042096
foodEnvIndex,-0.053103764,-0.40286833,-0.221703166,0.124381255,-0.255543252,0.057566458,-0.166846491,-0.383384665,-0.13381021,-0.042182286,0.250154618,-0.075311758,-0.423101829,-0.106288673,1,-0.33572263,0.219411914,0.162160255,0.012497387,0.041246578,-0.00473258,-0.117462534,-0.171115726,0.047269489,-0.224957126,0.048106248,-0.165199325,0.039208932,0.04074368,0.074686883,0.141830287,0.004867519,0.031214015,0.041801353,0.006408271,-0.049336664,-0.074709379,0.10939617,-0.185115149,-0.123268581,-0.155602133,-0.129844869,-0.083383225,-0.145515861,-0.098812154,-0.150288905,-0.203727825,-0.039641511,0.039562034,0.039867349,0.040990794,-0.061108662,-0.003732213,0.041381314,-0.205547149,-0.169922322,-0.411769221,-0.173801585,-0.273373855,0.320237058,0.348126746,-0.208909554,0.023941327,0.055289709,-0.188148646,0.01665687,-0.036547296,-0.002980922,-0.104728705,-0.167621349,-0.177056593,-0.14249746,-0.046234938,-0.1747732,0.319230099,-0.188187714,-0.09145743,-0.017202344,-0.053116986,-0.139030552,0.045732625,0.025409661,0.363283104,-0.423195632,-0.318263426,-0.374887074,-0.138735372,-0.359242816,-0.348208779,-0.234034214,-0.661773023,-0.638849263,-0.15303366,-0.03823651,-0.110822587,0.077022071,0.040654337,0.016091245,0.251245836,0.57207233,0.266883855,0.496166516,-0.093884103,-0.043225537,-0.26248055,-0.281606957,-0.23076252,0.053839638,-0.205235186,0.023140736,0.317904505,-0.245486372,-0.312184767,0.091187565,0.091590585,0.11092606,0.460904609,-0.347156692,0.350522694,-0.12435101,-0.225747697
popHispPerct,0.026032034,-0.368300346,-0.20225805,0.491473043,-0.163152709,0.717428102,0.438768131,0.042706421,0.120172571,0.006035259,0.413684065,0.039136164,0.00578331,-0.068418341,0.460904609,-0.427794391,0.172813876,-0.1816406,-0.114663421,-0.081216678,-0.058147607,-0.060574173,0.128767564,0.521458458,-0.091972187,0.470606419,-0.056908267,-0.032318449,0.326397999,-0.041457285,0.026528716,-0.075678724,-0.075429909,0.037707192,0.030030668,0.025401895,0.004588513,0.312628891,-0.143594776,-0.405274922,-0.191385202,-0.230377843,-0.361143125,-0.329484342,-0.139501796,-0.208239359,-0.374873708,-0.034729442,-0.256818903,-0.071416907,-0.031703692,-0.350104627,-0.057872897,-0.077130204,0.072020241,0.228165287,-0.104849097,-0.012185313,-0.052141126,-0.11666688,-0.11147608,0.110503875,-0.000189665,-0.021828292,0.15116609,-0.164075041,-0.214193418,-0.020633202,0.08295152,-0.202969784,-0.35825756,-0.362313253,0.237480066,-0.118901504,0.58140681,-0.029958179,-0.222096308,-0.122831692,0.1441358,-0.034539142,-0.084479561,-0.363916005,0.343791411,-0.307920717,-0.382182696,-0.398550816,0.490042784,0.154062322,-0.513014154,-0.071654917,-0.791467507,0.152517003,-0.22656193,-0.18606029,0.386895192,0.436068155,0.009842428,0.098948877,-0.17971759,0.290342553,0.004162762,0.23804948,0.392008754,-0.014425372,-0.354858698,-0.072838407,-0.377758261,-0.367144429,-0.07266977,-0.079103772,0.503030059,-0.460794871,-0.359178576,0.184074787,0.087930174,0.110992628,1,-0.911447805,0.753096609,-0.353951444,-0.407764114
popNoEnglishPerct,-0.007842533,-0.361884011,-0.257797742,0.093915762,-0.172382445,0.569613783,0.358246559,0.08273526,-0.028740055,-0.031305226,0.095297893,-0.014552648,0.105316365,-0.026676306,0.350522694,-0.314958058,0.163708565,-0.128494292,0.004344231,0.041438352,-0.048859189,-0.016646643,0.075219128,0.416290742,-0.138586121,0.371655529,-0.004990878,0.086750858,0.504050517,0.052913039,0.067190019,0.030387925,0.01133984,0.129978599,0.078515759,0.025498286,0.091228954,0.113045521,-0.133794958,-0.300350495,0.022891038,-0.187054747,-0.291349277,-0.191150185,0.097873519,-0.166546421,-0.244756378,0.058002691,-0.202715678,0.011951097,0.062706256,-0.421879491,0.029905669,0.022478217,0.044237685,0.142238074,-0.076123455,0.111535309,-0.069754475,-0.092137952,-0.032136503,0.014689508,0.071436757,0.074734931,0.024125152,-0.05252979,-0.248068285,0.044026497,0.056683686,-0.096629445,-0.324494246,-0.195855562,0.276097187,-0.021378677,0.567218954,-0.062034747,-0.194546,0.043999062,0.131124043,0.057193926,0.015450004,-0.304318263,0.343042302,-0.328337576,-0.346374672,-0.299333578,0.399836625,0.175880486,-0.470119899,0.094925281,-0.547982231,0.049939941,-0.282040534,-0.136420495,0.419454124,0.580484729,0.180521051,0.124462494,-0.109432605,0.149239836,-0.038002618,0.223611806,0.421317661,0.022217484,-0.155650983,-0.08452023,-0.390514028,-0.343788091,-0.021395316,0.021460698,0.504828948,-0.499248114,-0.173857548,0.12448206,0.128875913,0.114305274,0.753096609,-0.747925129,1,-0.312561547,-0.379252865
householdIncome,-0.046017132,-0.392997201,-0.407756008,-0.490867197,-0.428634124,-0.594876855,-0.701490406,-0.64779771,-0.278406308,-0.073018534,-0.211339335,-0.122354189,-0.507078925,0.008073602,0.251245836,-0.173202435,0.245189378,0.687743008,0.363459521,0.389562112,0.038481839,0.346397171,-0.07177564,-0.496496255,-0.4428281,-0.401465206,-0.411560785,0.33054371,-0.474311596,0.383190196,0.204143164,0.355719475,0.228252006,0.32364983,0.171179603,-0.189731663,0.010939418,-0.200617481,-0.025828802,0.450451696,0.143920367,0.202996562,0.420662188,0.411465546,0.195044128,0.289599307,0.388210808,0.422206329,0.125238008,0.37288714,0.337297012,0.480883223,0.292681069,0.376628398,-0.425307061,-0.879727462,-0.408265831,-0.362522881,-0.479014183,0.887376494,0.833889818,-0.346522966,0.276960717,0.346704639,-0.390771236,0.384416027,-0.168973958,0.29385065,0.020428965,0.426804674,-0.191780408,0.264270868,-0.044727933,0.062129126,-0.084899688,-0.125002793,0.040467791,-0.028387248,-0.19731854,-0.028149189,0.377395617,0.323699608,0.330794236,-0.428222028,-0.183533699,-0.174268769,-0.701166731,-0.705229511,-0.260697245,-0.002491497,-0.07516136,-0.245708417,-0.205566086,-0.228999486,-0.28416867,-0.528741714,-0.120717211,-0.534878165,1,0.593115167,0.627559283,0.722609436,-0.732068336,0.076896691,0.149515375,-0.328156118,-0.211313561,0.05472267,-0.002229711,0.345626029,0.185341625,-0.337320198,0.053159594,-0.074507865,0.21885386,0.239465515,-0.17971759,0.202106084,-0.109432605,0.051305785,-0.172247133
incomeInequalityPerct80Th,-0.017281826,-0.392154852,-0.383648904,-0.370784055,-0.458468428,-0.586301666,-0.736574721,-0.729278853,-0.257654456,-0.076329115,-0.124742603,-0.151000701,-0.607371294,-0.025051751,0.320237058,-0.223271252,0.203093056,0.686156854,0.313652549,0.3489459,-0.005225282,0.323629204,-0.072996249,-0.442809676,-0.384468856,-0.335047461,-0.398623922,0.289549742,-0.473437966,0.351073004,0.21728244,0.3095854,0.201102664,0.276314008,0.132860285,-0.13505418,0.030118017,-0.128542252,-0.047685847,0.350152578,0.08712192,0.130679316,0.355211157,0.321636806,0.18313559,0.281216372,0.344807029,0.374474676,0.154276607,0.337208161,0.305396332,0.453180454,0.265683018,0.334133977,-0.362432835,-0.765257424,-0.375306196,-0.398395925,-0.516071339,1,0.806329827,-0.195363832,0.246925541,0.308889584,-0.38959883,0.336301812,-0.162669596,0.263640049,0.010667805,0.362933976,-0.222354407,0.240013162,-0.096068502,0.000874728,-0.050655242,-0.186587827,0.010482455,-0.003609939,-0.198428799,-0.024862456,0.336658326,0.324735455,0.313368214,-0.389531977,-0.229576772,-0.262256731,-0.72721451,-0.77845621,-0.269013119,-0.010979882,-0.15517529,-0.243320128,-0.130823066,-0.255225204,-0.286067514,-0.513310034,-0.140837784,-0.492355471,0.887376494,0.581377271,0.683308516,0.799545379,-0.678117313,0.054428895,0.104753169,-0.30861179,-0.242956728,0.084861788,-0.065153664,0.307646201,0.167241458,-0.315369617,0.035942939,-0.092023297,0.226746555,0.173346909,-0.11666688,0.139008507,-0.092137952,0.028476444,-0.192463486
hSchoolGradCohortSize,-0.015061081,-0.414399542,-0.468127622,-0.445283299,-0.523390563,-0.173812257,-0.174144212,-0.123002556,0.015045229,-0.212742687,-0.109256523,-0.088588773,-0.078965306,0.172920647,-0.039641511,-0.06907532,0.297704379,0.283495566,0.827525328,0.849773112,0.257103878,0.909539126,0.278163371,-0.352712943,-0.470784453,-0.273662407,-0.442037487,0.980235586,-0.299982377,0.894482422,0.345168897,0.919404785,0.507797043,0.898380728,0.619315448,-0.125799643,-0.000399336,-0.008439434,-0.187271465,0.458879695,0.366970756,0.381428791,0.41822857,0.542953751,0.3747532,0.4972072,0.55742141,1,-0.251080808,0.978227534,0.979523177,0.529378525,0.965726418,0.976072165,-0.109533183,-0.382540113,-0.433186171,-0.073092627,-0.417441691,0.374474676,0.279403859,-0.001689616,0.968066041,0.988512103,0.020219445,0.917095118,-0.515317041,0.911313988,0.300157975,0.948225154,-0.5272721,0.610216378,0.369996074,0.533506522,0.030966518,-0.143258634,0.060285351,-0.141359185,0.203781086,0.011169941,0.978144089,0.17045623,0.295987721,-0.328576384,-0.406519251,-0.363605324,-0.176481887,-0.158506872,-0.207664168,0.394685707,0.10485585,0.027867911,-0.42272748,-0.621897091,0.232224297,-0.253318389,-0.484083388,-0.652749939,0.422206329,0.453802694,0.233355836,0.451836353,-0.229850256,0.294260913,0.374015429,-0.398783648,-0.510068285,-0.390130666,0.430844631,0.979963317,0.244706196,-0.490212442,0.306527308,-0.287525654,0.49929273,0.465706482,-0.034729442,-0.088571501,0.058002691,0.337035507,-0.419516288
incomeInequalityPerct20Th,-0.087210692,-0.378927747,-0.410525911,-0.425281513,-0.334011794,-0.562018767,-0.702599251,-0.694438535,-0.314323461,-0.143401197,-0.108868387,-0.175351395,-0.564469032,-0.025993129,0.348126746,-0.217571944,0.178097924,0.644682994,0.190225076,0.205379089,0.011656999,0.241097253,-0.097660354,-0.375833634,-0.412663634,-0.245499173,-0.277875051,0.206124824,-0.324968063,0.245629108,0.134080862,0.226308919,0.163488269,0.232731087,0.106973097,-0.174788719,-0.052154373,-0.150580207,-0.094104381,0.350580065,0.128302188,0.111629991,0.350579284,0.264082279,0.089977955,0.201588395,0.273749499,0.279403859,0.234423767,0.230277211,0.206580351,0.374708958,0.147650543,0.232313476,-0.470295295,-0.75939543,-0.419519812,-0.41437315,-0.526532546,0.806329827,1,-0.690661348,0.150341855,0.217144353,-0.417938636,0.265808345,-0.047620338,0.170610504,-0.027133414,0.25417894,-0.144189085,0.11404867,-0.167637784,-0.097536095,-0.057243036,-0.187097684,-0.004867211,-0.03311103,-0.22893469,-0.069972978,0.241875896,0.247653691,0.286021038,-0.362503926,-0.202308312,-0.192732538,-0.701111956,-0.743253075,-0.263956763,-0.066215925,-0.196749634,-0.281306572,-0.159365019,-0.181871063,-0.312521946,-0.375967044,-0.005929041,-0.465583692,0.833889818,0.630848991,0.637003704,0.72003837,-0.611981505,-0.038957149,0.028859722,-0.328419524,-0.209611786,0.06728453,-0.218680831,0.205934023,0.228645767,-0.300354102,0.00599861,-0.004349844,0.168263258,0.215883866,-0.11147608,0.156154241,-0.032136503,0.016016799,-0.13156773
