Status,County,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured_x,% Uninsured_x,# Primary Care Physicians,PCP Rate,PCP Ratio,# Dentists,Dentist Rate,Dentist Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population_x,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,Presence of violation,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
Rural,Anderson,10272.949118,12962.159784,10880.315229,9971.5405726,19.529584587,3.9261302641,3.6428470452,7.2498791687,11.444921316,4.4284243048,6.8664169788,18.465774675,34.4,5.8,25.2,28.56580793,18.561601613,14,49,28.571428571,224.0,389.0,49.492775899,46.068796069,61.915367483,45.486111111,6394,17.587677073,20.0,34.64163,2887:1,21.0,36.3693,2750:1,24.0,41.56492,2406:1,6016.0,8528.0,4174.0,5765.0,39.0,38.0,33.0,39.0,44.0,35.0,33.0,45.0,557.0,93.9,7526,18650,40.353887399,843,23262,3.623936033,23.4,44.43134944,27.255985267,15.403109473,83904,19474,4.308513916,3639,11186,32.531736099,66,11.431738664,240.5,416.60892461,225.0,77.957175525,9.9,Yes,15.446668659,10.453172205,4.3023603227,1.2249775919,85.067105193,82.663714015,81.071311206,86.307537064,16036,26.8,73.773772076,70.933226219,82.901505892,74.097054675,1075.0,544.0,721.90504138,597.22435725,516.08293896,21.0,46.941010796,,,,,,,,,12.117430762,11.45540501,10.7,375.0,756.6,11160,19.3,9059.4342698,15.497338722,24.0,13.868423334,78.0,19.253649554,35.247322041,1310,11.295050871,41.56492,2406:1,13.952483801,42412,24427.0,37635.0,48013.0,61.487414188,36.373890248,35.088489525,5.4,41.0,14.2,11748,70.912054083,1560.0,9.8853051137,19.58054069,14.535598621,11945,20.687206664,391,0.6771618088,520,0.9005732495,83,0.1437453456,10287,17.815763496,34140,59.126097574,1488,2.7158736243,39.067560312,39204,67.063532793
Rural,Andrews,7952.9732511,,7774.1443291,8202.8968382,17.307709917,3.3028106698,3.1980569141,6.3138347261,,5.9120403749,7.1526822558,13.337848434,32.2,8.1,24.0,93.865819018,21.103098937,25,54,46.296296296,48.0,265.1,68.035330628,,81.191806331,44.170890659,2897,18.213252861,7.0,39.414410000000004,2537:1,4.0,22.570819999999998,4431:1,2.0,11.285409999999999,8861:1,5914.0,,5743.0,5926.0,28.0,,28.0,29.0,21.0,,18.0,22.0,238.0,95.1,1875,4738,39.573659772,276,9011,3.062923094,17.5,,17.286084702,5.2295177223,130923,27473,4.7655152331,1201,5473,21.944089165,15,8.4459459459,89.5,493.88847502,76.0,86.498298487,7.3,Yes,14.429223744,5.7011070111,7.5799086758,1.5525114155,79.845251466,,76.215964626,84.073641146,6398,27.1,76.75679483,,78.761703528,75.78168331,193.0,398.9,,361.69254488,433.60921763,,,,,,,,,,,10.21117636,9.8698827266,8.6,11.0,79.3,1470,8.5,1729.5211976,11.697018786,,,51.0,42.704626335,31.749209974,701,12.174366099,62.06974,1611:1,,63451,38359.0,66319.0,73648.0,42.284417549,27.581508252,11.477964138,,12.0,13.7,3981,73.545169038,396.0,7.6271186441,30.899447015,10.534928338,246,1.38810518,260,1.4671030358,133,0.7504796298,4,0.0225708159,9958,56.19004627,7131,40.238122108,1184,7.4083343762,49.035097619,2440,16.502096578
Rural,Angelina,9018.4985132,14014.161619,4450.7048295,9293.1296588,23.207340361,4.2239472614,4.0705456431,8.769193858,14.041604755,8.0528334043,7.5187969925,18.282138513,39.8,6.1,33.3,64.947966486,18.164063146,17,91,18.681318681,487.0,551.8,45.806266718,47.093649085,49.493243243,44.147096304,14196,19.806345397,52.0,59.23158,1688:1,42.0,47.83327,2091:1,111.0,126.41649,791:1,4711.0,6249.0,3055.0,4697.0,41.0,33.0,30.0,43.0,46.0,36.0,45.0,47.0,1256.0,92.5,12005,21817,55.025897236,1857,36614,5.0718304474,25.4,48.363741674,29.055085334,19.459508315,87170,19111,4.5612474491,8699,22654,38.399399665,98,11.162875466,275.0,311.67123784,304.0,69.241667084,9.8,Yes,16.135360471,11.412504135,4.2504495668,1.6347882949,82.94967276,76.175098672,81.248164464,87.015344716,29404,16.3,76.336820137,72.360091892,89.407684302,75.875435564,1335.0,454.5,676.50474806,206.20917479,466.55240595,51.0,55.887348638,99.140779907,44.872458666,49.995652552,47.0,5.4919373685,,,,13.030222427,12.57017879,13.6,140.0,195.9,17480,19.9,9501.8377208,10.95047622,34.0,12.886060693,122.0,19.859744623,34.799078495,2397,10.25498417,64.91658,1540:1,12.443438914,45318,28509.0,41673.0,51631.0,66.141375205,41.690905767,36.670375468,6.3,58.0,13.2,20424,66.030842844,3698.0,12.486915414,25.809464154,15.7918114,12983,14.786173908,662,0.7539433973,1023,1.1650817152,56,0.0637776892,19475,22.179830306,53264,60.661693525,3650,4.4715596555,51.333067593,37383,43.082366228
Rural,Bailey,8326.0133294,,7370.9987053,12900.396823,27.307110656,4.5163915259,3.968838134,7.1982281285,,7.9734219269,4.9822064057,17.524286588,29.3,8.7,24.0,83.949755757,15.610759435,3,6,50.0,22.0,305.1,73.925501433,,76.58643326,61.403508772,1596,26.419466976,3.0,41.77691,2394:1,3.0,42.39084,2359:1,,,,6251.0,,9130.0,4512.0,33.0,,31.0,34.0,37.0,,33.0,37.0,82.0,98.8,818,1870,43.743315508,114,2670,4.2696629213,26.3,,33.141394754,36.320754717,78910,23587,3.3454869208,449,2057,21.827904716,12,16.710764517,11.5,160.18944143,28.0,78.891017694,6.8,No,20.292887029,6.8980477223,13.807531381,0.1673640167,69.587965991,,65.955983494,75.42503864,2128,22.3,78.39736304,,82.27303433,74.932955185,72.0,343.3,,337.2109264,408.38110125,,,,,,,,,,,14.7262456,13.073894241,9.7,,,680,9.5,260.44449501,3.634954571,,,15.0,30.078806473,33.359445612,315,13.36444633,84.78169,1180:1,,42045,,37917.0,54073.0,81.348933242,,,,,,1609,72.152466368,167.0,8.1225680934,31.581178465,14.130281193,81,1.1445527766,232,3.2782252367,60,0.8478168716,9,0.1271725307,4550,64.292779426,2328,32.895294616,1124,17.1054634,49.780980642,2060,28.750872296
Rural,Baylor,10617.916861,,,,16.437425252,3.682539125,3.731400898,10.408921933,,,,14.911362218,28.7,7.4,27.6,85.856146001,16.841233933,4,17,23.529411765,11.0,304.0,40.638606676,,57.803468208,35.343035343,461,16.751453488,5.0,135.24479,739:1,1.0,27.925159999999998,3581:1,,,,8016.0,,,,22.0,,,,14.0,,,,,95.0,357,604,59.105960265,55,1599,3.4396497811,27.6,,9.5652173913,2.5423728814,83630,16467,5.0786421328,172,756,22.751322751,8,21.639166892,8.5,236.01277246,22.0,121.53353221,7.8,No,7.5362318841,7.9881656805,0.0,0.8695652174,89.46251768,,,,1265,8.1,74.337008626,,,,94.0,622.3,,,,,,,,,,,,,,11.29613241,11.536784538,12.5,,,610,16.6,138.67183549,3.7217347153,,,14.0,54.975261132,29.983313029,87,10.494571773,55.850319999999996,1791:1,,37013,,20417.0,37712.0,55.966386555,,,,,,1273,77.433090024,87.0,5.5203045685,22.200502653,24.602066462,91,2.5411896118,25,0.6981290142,13,0.3630270874,3,0.0837754817,471,13.152750628,2937,82.016196593,0,0.0,50.879642558,3726,100.0
Rural,Bee,8026.9413978,,9362.2770525,6933.4249023,22.989979705,3.9145216564,3.4694868159,9.6701649175,22.222222222,9.511698881,9.1051805338,16.565025289,28.6,7.1,24.1,50.88980258,19.535129754,6,28,21.428571429,214.0,651.0,59.514608131,,68.434032059,34.702549575,3916,18.212259325,7.0,21.37405,4679:1,11.0,33.78067,2960:1,13.0,39.92261,2505:1,6958.0,,8299.0,5998.0,30.0,,29.0,31.0,29.0,17.0,25.0,31.0,346.0,88.1,3687,10429,35.353341643,641,9938,6.4499899376,33.7,53.658536585,32.516746411,27.964959569,82369,16931,4.8649813951,2542,6963,36.507252621,24,7.3282442748,83.5,252.08688695,109.0,66.524666003,9.4,Yes,15.98173516,8.922363847,6.4497716895,1.5410958904,80.33589923,,77.212705211,81.785283474,8036,31.0,76.733329831,77.261491804,74.661507702,78.824761371,420.0,432.7,,509.26409459,373.32002442,17.0,60.420813193,,,,,,,,,12.496630246,11.031133303,8.6,160.0,580.7,4620,14.1,3655.2239147,11.472408006,10.0,10.184647662,43.0,18.820769376,34.133603705,688,9.4661529994,52.20649,1915:1,14.920071048,41392,41051.0,40737.0,48678.0,74.377091856,26.798968853,24.016583735,7.4,18.0,11.0,5375,63.005509319,878.0,10.947630923,21.447655314,12.124190032,2691,8.2639805915,274,0.8414458127,209,0.641832755,36,0.1105549243,19238,59.079323158,10161,31.204127384,838,2.7222817789,39.32377238,13693,42.97730768
Rural,Blanco,7255.8445719,,,,15.380683389,3.3601582513,3.5071620504,6.6460587326,,6.2146892655,6.4935064935,14.244667526,29.3,8.2,26.6,48.461465181,18.13132176,13,29,44.827586207,73.0,663.4,20.638820639,,34.285714286,15.427769986,1935,22.413992818,4.0,35.11236,2848:1,4.0,34.40564,2907:1,1.0,8.60141,11626:1,3047.0,,,,39.0,,26.0,40.0,42.0,,43.0,42.0,142.0,96.8,1204,2024,59.486166008,169,6217,2.7183529033,17.1,,22.188449848,13.104988831,106379,27237,3.9056797738,698,2010,34.726368159,14,12.289325843,15.0,136.81762211,55.0,98.997426067,8.9,Yes,15.726290516,10.334054314,3.93757503,1.8007202881,77.878971868,,66.923076923,73.333333333,3848,37.6,78.80952718,,83.835097473,77.864491844,158.0,317.0,,,,,,,,,,,,,,10.243922996,10.689170854,11.4,13.0,134.6,1450,13.3,106.64265897,1.0159346382,,,15.0,19.528198719,28.923345992,438,19.588550984,25.80423,3875:1,,62115,,46861.0,61918.0,42.457775189,,32.753942572,,15.0,27.0,3240,76.595744681,450.0,11.070110701,18.785480819,23.97213143,125,1.0751763289,145,1.2472045415,103,0.885945295,11,0.0946155169,2286,19.662824703,8918,76.70738001,288,2.7082941508,50.180629623,10497,100.0
Rural,Borden,,,,,11.659079048,2.8465771025,3.0597772124,,,,,11.440265282,28.6,6.8,23.8,0.0,20.853640531,0,4,0.0,,,,,,,69,13.609467456,0.0,0.0,633:0,0.0,0.0,673:0,0.0,0.0,673:0,,,,,25.0,,,,24.0,,,,,100.0,116,145,80.0,11,318,3.4591194969,15.8,,,,118667,42250,2.8086863905,30,164,18.292682927,0,0.0,3.0,466.2004662,,,7.1,Yes,5.3846153846,1.5625,1.5384615385,1.5384615385,74.703557312,,,,189,59.3,,,,,,,,,,,,,,,,,,,,8.4132393772,9.0431592064,12.1,8.0,1491.9,100,14.2,96.197622696,15.007429438,,,,,28.544608849,18,11.25,0.0,673:0,,59039,,86042.0,75750.0,23.622047244,,,,,,183,73.790322581,5.0,2.380952381,21.693907875,23.476968796,10,1.485884101,5,0.7429420505,1,0.1485884101,0,0.0,131,19.465081724,520,77.265973254,4,0.7590132827,47.994056464,641,100.0
Rural,Bosque,9534.9737503,,7049.2848949,10305.487631,16.785344092,3.7108638787,3.659584194,6.5648854962,,4.9350649351,6.9555302166,15.021915551,29.0,7.6,26.0,41.313419723,16.87761486,4,20,20.0,27.0,150.9,30.295116218,,45.454545455,24.602573808,3068,22.655442328,9.0,49.732,2011:1,7.0,38.1971,2618:1,2.0,10.91346,9163:1,6051.0,,1991.0,6207.0,40.0,,33.0,40.0,29.0,,27.0,30.0,174.0,95.8,1781,3509,50.755200912,326,8176,3.9872798434,26.2,6.8965517241,36.395147314,19.967728923,94278,22310,4.2258180188,1186,3896,30.441478439,29,16.024755484,13.0,82.208239795,70.0,77.821876841,9.5,Yes,13.428571429,8.8264938805,3.5714285714,1.7142857143,79.239606127,,61.439114391,73.325499412,5794,44.1,76.541379984,,87.218644391,75.882734378,332.0,440.7,,335.93269744,460.90983325,11.0,70.386485795,,,,,,,,,11.317635917,11.486180807,11.3,19.0,124.8,2840,15.8,641.68367974,3.5234113757,,,32.0,25.320462098,29.387262314,606,14.889434889,43.65383,2291:1,,49139,61731.0,35156.0,51236.0,63.041825095,47.713623251,27.963676941,,14.0,15.6,5435,77.344528248,639.0,9.4694724363,21.444941613,24.364291171,304,1.6588453563,160,0.8730765033,112,0.6111535523,14,0.076394194,3427,18.700207356,14214,77.561933864,434,2.5570022978,50.491105533,14791,81.215681968
Rural,Brewster,8703.5944932,,7067.4060803,10720.545275,21.277221157,3.8572560104,3.5655915809,7.3305670816,,5.6603773585,9.696969697,15.094538767,28.7,7.4,27.2,55.556759099,16.539391626,1,5,20.0,45.0,492.1,28.46975089,,,,1276,17.722222222,6.0,65.21739,1533:1,3.0,32.13023,3112:1,12.0,128.52094,778:1,3182.0,,2046.0,3122.0,25.0,,21.0,25.0,24.0,,20.0,24.0,,96.3,1621,2370,68.396624473,137,3921,3.494006631,20.7,,9.5936794582,4.831625183,85402,18466,4.6248240009,427,1708,25.0,20,21.739130435,15.0,162.60162602,45.0,97.527145055,6.3,No,15.776397516,9.5890410959,2.5838509317,4.5962732919,71.348588121,,70.421753607,69.385796545,2931,11.7,79.661451667,,81.020316221,78.004494439,130.0,374.1,,356.5387302,419.22439243,,,,,,,,,,,12.076041452,11.481743801,10.8,,,1070,11.6,1204.6133748,13.048238462,,,14.0,21.590611169,29.960560597,194,10.424502955,74.97055,1334:1,,44617,,37711.0,42802.0,53.660377358,,14.090288221,,12.0,26.0,2155,54.80671414,371.0,10.013495277,19.417371747,21.773588947,103,1.1031380529,165,1.7671629003,116,1.2423690693,13,0.1392310164,4240,45.410731498,4692,50.251686837,263,3.0170930366,49.341330192,3219,34.867850953
