,Member,,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
Cenez,,Years of Potential Life Lost Rate,0.080981108,1,0.622979229,0.550890758,0.850746405,-0.004770131,0.190575555,0.386888237,0.193017527,0.184452442,0.014386308,0.268394723,0.432932836,0.280493936,-0.33836385,0.484908205,-0.29281485,-0.286582475,-0.221550682,-0.237682329,-0.048077821,-0.25079997,-0.024741302,0.230490225,0.451963461,0.218362534,0.562089509,-0.240812328,0.070684452,-0.305177627,-0.244842093,-0.254357343,-0.187219662,-0.263244433,-0.240521114,0.235561877,0.041015331,0.092290016,0.192335808,-0.172152633,-0.06578611,-0.079669103,-0.173060809,-0.121150371,-0.091225481,-0.147172283,-0.101295414,-0.327956877,0.196879045,-0.291076184,-0.269070956,-0.330826921,-0.252280645,-0.281226708,0.268100621,0.387616516,0.370730784,0.225307125,0.335014206,-0.464199541,-0.447697753,0.122876479,-0.235314003,-0.274773066,0.250835186,-0.273516732,0.232082683,-0.170876956,0.118845557,-0.231957739,0.655058465,-0.053237677,-0.204137781,-0.168409922,-0.246760888,0.23322302,0.205824241,0.023185017,-0.00898245,0.190952982,-0.277343526,0.01612596,-0.897189907,-0.605242882,-0.015378721,-0.812087349,-0.231091917,0.941994775,0.632894782,0.443838769,0.836259001,-0.269813549,0.559888711,0.527546929,0.588442205,0.597946306,-0.258871329,0.678148165,0.676863047,0.736436356,0.600307015,0.127128242,0.313321413,0.499831374,-0.182465227,-0.050914467,-0.241256482,0.453522582,-0.274493775,-0.047903178,-0.307747615,0.508537158,-0.26268141,0.558654565,0.045829335,-0.247680133,0.053177154,-0.026118753,0.301961584,-0.485416219,-0.575143371,-0.21522087,-0.565067077,0.255730166,-0.112463589,0.053340937,0.565984459,-0.262011965,0.603889714,-0.290601103,0.270880318,-0.248209947,-0.104595758,-0.243318349,0.414947564,-0.181284203,0.186436118,-0.244252882,0.153432473,-0.276411265,-0.388638019,-0.245521171,-0.083161313,-0.256304674,-0.301499689,-0.309766178,0.307040443,-0.221150811,-0.337439922,0.016838787,-0.238881413,0.423985963
Cenez,,Age-Adjusted Mortality,0.043665331,0.941994775,0.589229348,0.515187053,0.812401357,0.00802842,0.155788914,0.30720136,0.198980712,0.202390259,0.025018833,0.280829249,0.35442129,0.251318955,-0.331372628,0.447143868,-0.29351268,-0.205669998,-0.194224843,-0.209974915,0.02236799,-0.238111282,0.103693818,0.274676421,0.515419754,0.288037093,0.603345607,-0.211980475,0.044115737,-0.284310269,-0.29563081,-0.22464173,-0.148536266,-0.244035679,-0.269501489,0.195588708,0.030662697,0.103273784,0.216333559,-0.233367563,-0.047412017,-0.122986745,-0.171698348,-0.177861385,-0.124976428,-0.118555872,-0.121833768,-0.327453828,0.067994643,-0.257745301,-0.237021734,-0.216622153,-0.222949559,-0.248544194,0.22638924,0.35126681,0.385037842,0.122546887,0.162639886,-0.435512809,-0.42404031,0.17741737,-0.206087436,-0.242074825,0.240577655,-0.238336605,0.161591669,-0.149173517,0.1711846,-0.228529792,0.607260149,-0.04675559,-0.244583082,-0.180013425,-0.242266319,0.083219866,0.163564983,0.020960428,0.060038704,0.248095851,-0.244625542,-0.049475738,-0.914269992,-0.638456297,-0.068485929,-0.850217844,-0.200766399,1,0.643151032,0.482457009,0.896800087,-0.277740807,0.472732387,0.476130908,0.552419077,0.594371279,-0.265861696,0.635071764,0.669098252,0.736433898,0.59725532,0.107538531,0.248597982,0.391392023,-0.190579517,0.016591211,-0.212351235,0.371061948,-0.235705884,0.098594463,-0.311572485,0.481173024,-0.268342261,0.51681466,0.066263043,-0.217819033,0.029160185,0.006669113,0.326544975,-0.484498517,-0.586135611,-0.145510359,-0.485626479,0.25278881,-0.106230985,0.043855349,0.535751118,-0.264053357,0.513016576,-0.256761596,0.174655257,-0.218801623,-0.11243704,-0.156538596,0.287200714,-0.161380429,0.172574962,-0.214202119,0.19011781,-0.251095605,-0.357126988,-0.213490198,-0.094596593,-0.224380184,-0.231387881,-0.272825782,0.228251402,-0.195825897,-0.315495162,-0.032467463,-0.213746199,0.281289705
Cenez,,YPLL Rate (White),0.111106838,0.850746405,0.479153701,0.374773454,1,0.132859265,0.253271151,0.299473955,0.177220086,0.130985911,0.045265876,0.226145869,0.362021575,0.243123213,-0.175376839,0.383471454,-0.327453108,-0.304180025,-0.239788946,-0.258289854,-0.098713884,-0.265113995,-0.020844855,0.410769859,0.307238886,0.305716053,0.654745176,-0.247916002,0.242563612,-0.309331455,-0.378319104,-0.263147655,-0.335600123,-0.29038465,-0.286215072,0.216746201,0.047062273,0.145323131,0.235006686,-0.302175583,-0.048163107,-0.096630146,-0.324720215,-0.207706521,-0.048806489,-0.212779146,-0.208286344,-0.323771796,0.170038627,-0.306037971,-0.282835391,-0.451322146,-0.258032294,-0.29720727,0.398016235,0.399258623,0.297403893,0.126689782,0.470009398,-0.502154557,-0.407745716,-0.000610189,-0.246194703,-0.284121225,0.217788207,-0.303237974,0.236912728,-0.1874832,0.110315356,-0.253663162,0.687052938,-0.277853885,-0.259086692,-0.357692001,-0.059159871,0.230310846,-0.007700825,-0.041006997,-0.06419145,0.072875195,-0.293347571,-0.038113925,-0.777635847,-0.444940793,-0.038076996,-0.909036726,-0.251980978,0.812401357,0.505161306,0.320030573,0.926437506,-0.261724708,0.52079356,0.413654848,0.536553697,0.598830384,-0.247939626,0.554807357,0.647488492,0.701784615,0.610114528,0.20749152,0.280594384,0.384340212,-0.193178379,-0.06102326,-0.263483197,0.19484739,-0.271772686,0.00699213,-0.302503882,0.514772743,-0.260544006,0.611500628,0.04912945,-0.25544338,0.203749732,-0.074504805,0.335107301,-0.499465881,-0.396798585,-0.202061041,-0.541515847,0.3407274,-0.143834671,0.016208924,0.47840725,-0.260974415,0.667772416,-0.305496701,0.247382179,-0.267575321,-0.304289626,-0.146458511,0.360464313,-0.206541208,0.028034257,-0.261106858,0.276113019,-0.288521188,-0.36630144,-0.256018024,-0.068024089,-0.250198633,-0.082327799,-0.341418261,0.124480648,-0.215942165,-0.100555116,-0.118828418,-0.322491668,0.381489624
Cenez,,Age-Adjusted Mortality (White),0.137919445,0.836259001,0.470378474,0.404912529,0.926437506,0.182876718,0.300823744,0.323869859,0.255812814,0.132552122,0.084925572,0.278435589,0.452093567,0.304589804,-0.22888662,0.411641953,-0.327527121,-0.261582043,-0.237708037,-0.255936445,-0.123075569,-0.266803124,0.043574911,0.492701879,0.408158597,0.363412698,0.718786352,-0.253966558,0.214595471,-0.319736364,-0.379341677,-0.270672898,-0.327568836,-0.294803449,-0.271548645,0.282054516,0.041727482,0.170927822,0.300511759,-0.362656915,-0.046574474,-0.133179223,-0.39246301,-0.205404,-0.116295051,-0.191564511,-0.203772228,-0.327055068,0.065077235,-0.314665247,-0.288966607,-0.4978754,-0.265566753,-0.304957065,0.429636022,0.44873978,0.302675281,0.135598982,0.429902398,-0.54708503,-0.46848578,0.055661613,-0.249380306,-0.291235392,0.318555861,-0.304855399,0.201964649,-0.186709834,0.228910955,-0.254631605,0.633347135,-0.287534948,-0.250197533,-0.333416542,-0.069449934,0.224495314,0.07290615,-0.040241852,0.03059982,0.18991147,-0.299745096,-0.126914378,-0.848874872,-0.497821486,-0.085026203,-0.950114448,-0.251087611,0.896800087,0.508416742,0.380341036,1,-0.256297898,0.462975458,0.39139839,0.518596943,0.603934606,-0.245879876,0.552700557,0.633408642,0.722027152,0.618285596,0.254531685,0.314337199,0.346302123,-0.196108802,0.015134907,-0.266808009,0.217572542,-0.275949624,0.073119283,-0.295346909,0.477655013,-0.259026858,0.538324708,0.149336426,-0.261396103,0.134354609,-0.050326552,0.356445182,-0.556503583,-0.452260383,-0.22519246,-0.570899441,0.368459163,-0.113035429,0.020669966,0.469016652,-0.25163038,0.561690364,-0.313326636,0.173034258,-0.272650689,-0.271510234,-0.143456546,0.274901544,-0.207861931,0.056148961,-0.263201502,0.198537088,-0.304277774,-0.370508506,-0.252403381,-0.046351066,-0.257088827,-0.05597187,-0.348122683,0.084075569,-0.224173492,-0.118478302,-0.185305627,-0.333911522,0.28092736
Tosh,,Infant Mortality Rate (Hispanic),0.249663748,0.736436356,0.514746751,0.493950005,0.701784615,0.411609654,0.43246599,0.392517922,0.34333256,0.017846301,0.202619655,0.451316205,0.676705898,0.424413124,-0.226863413,0.623447121,-0.324244526,-0.413712622,0.009912662,0.038324206,-0.217609924,0.00173313,0.259778584,0.682088007,0.616462504,0.685476409,0.696708658,0.002865,0.510573883,-0.065596665,0.006999795,3.05E-05,0.253017458,0.001328275,0.332861493,0.238531731,0.181461608,0.131930506,0.239702603,-0.057497734,0.251373721,0.072749704,-0.062565726,-0.22652706,-0.175971308,-0.31804706,-0.25741855,-0.053206326,-0.20735592,-0.086784798,-0.042464722,-0.697695428,-0.055814708,-0.056182151,-0.096684987,0.477458869,0.434608347,0.471530003,0.584349964,-0.557578241,-0.443180648,-0.092107667,0.026890804,-0.029771518,0.469635813,-0.009429761,0.460321457,0.029971245,0.347917914,0.01574292,0.698795016,-0.481120191,-0.033695015,-0.153450101,0.205925634,0.351682285,0.048515089,-0.092516177,0.455329923,0.454314696,-0.045269296,-0.377698201,-0.756283302,-0.526586315,-0.326163211,-0.730358665,0.033746176,0.736433898,0.501797756,0.396068269,0.722027152,0.036822889,0.706826303,0.323249905,0.816547737,0.531827161,0.062044694,0.759187336,0.564294247,1,0.649183005,0.419270718,0.450809122,0.30865916,0.005439235,0.017690918,-0.021059086,0.15903003,0.054871887,0.252389731,0.005771363,0.377449788,0.031279583,0.515525505,0.299035594,-0.001601556,0.41003379,0.604034696,0.408402952,-0.522631637,-0.484643978,-0.476322863,-0.528583625,0.550479074,0.346172315,0.250869774,0.520478256,0.024836874,0.728060733,-0.057328314,-0.115427051,-0.025582274,-0.098722737,0.239454728,0.356505497,0.004324733,0.054199814,-0.000908232,0.503927507,-0.182051175,-0.386768784,0.132787178,0.322317681,0.007269366,0.027112218,-0.097780687,0.050128886,-0.012077648,0.062590349,-0.248861448,-0.192907734,0.090248731
Tosh,,Infant Mortality Rate,0.027247736,0.678148165,0.479639814,0.109059536,0.554807357,-0.129113597,0.006260065,0.210955933,0.278012696,0.216974182,-0.180068418,0.330176739,0.369932073,0.294638883,-0.351340515,0.447966229,-0.333372486,-0.136925827,-0.07055204,-0.062142598,-0.23775755,-0.082953649,-0.01567757,0.235814763,0.472470257,0.275246874,0.51996741,-0.084030817,0.012906372,-0.123518897,-0.111539178,-0.071456711,-0.045218164,-0.090642799,-0.000962881,0.069947156,-0.082821659,-0.259496928,0.226771355,0.065111392,0.23354075,-0.085869215,0.068811287,0.011625976,0.012316295,-0.065533432,-0.000382919,-0.129372234,0.111759358,-0.130015626,-0.10588305,-0.265213429,-0.101862277,-0.116160429,0.011126255,0.100770988,0.422988518,0.183726526,0.221026946,-0.32826647,-0.252760512,-0.083183461,-0.071793191,-0.108958759,0.214641856,-0.075977353,0.529459252,-0.03304599,0.204155094,-0.067671646,0.500252986,-0.079334067,-0.308191148,-0.246631221,-0.246386168,-0.133821268,0.361842232,0.168279353,0.13204658,0.389924632,-0.108541011,-0.123468834,-0.650393534,-0.459749154,0.114909699,-0.549514932,-0.056264153,0.635071764,0.423250543,-0.082771123,0.552700557,-0.044317961,0.831786201,0.278988236,0.603525372,0.700308213,-0.027630798,1,0.756876675,0.759187336,0.847738433,-0.051264821,0.121643948,0.454268694,-0.025689615,0.020817225,-0.06175014,0.476202262,-0.116038902,-0.132598171,-0.044091133,0.232992775,-0.066297648,0.457859893,0.196279487,-0.086247927,0.154678348,0.111220659,0.298395081,-0.28048017,-0.431664507,-0.30635773,-0.443711993,0.117851175,0.076439204,0.339825963,0.456681644,-0.045327193,0.572235426,-0.120418453,0.14245737,-0.088782945,-0.188737648,-0.189360298,0.417457496,-0.002165755,0.303134778,-0.081891575,0.121044396,-0.133549954,-0.224170168,-0.02923724,0.075984017,-0.129961951,-0.405044324,-0.120711517,0.371146372,-0.087853679,-0.289708826,-0.018296709,-0.115450089,0.318425418
Tosh,,Infant Mortality Rate (Black),0.11186867,0.676863047,0.717480246,0.178345032,0.647488492,0.497069366,0.539799458,0.675759313,0.240432771,0.475428156,-0.283252712,0.10633533,0.575236547,0.552146151,-0.521671971,0.691155206,-0.617321195,-0.621747282,0.041001858,0.05072472,-0.301566449,-0.03096576,0.261096854,0.71106988,0.713607412,0.694466671,0.58092258,0.045651941,0.767470253,-0.126475021,-0.280945858,-0.042224177,-0.048177371,-0.053361115,0.046213394,0.093810479,-0.101414792,-0.461591402,0.091748171,-0.051405118,0.037655319,-0.180761731,-0.074122728,-0.080124613,-0.06026207,-0.321420181,0.014371986,-0.092697843,-0.375664689,-0.124401222,-0.056013709,-0.833522026,-0.028494323,-0.080294916,0.293325599,0.683991959,0.603912,0.592264591,0.745356671,-0.734374985,-0.685269698,0.332012627,0.040133557,-0.046551131,0.629381239,0.00388808,0.651178442,0.06407363,0.395414439,0.003807678,0.548316993,-0.334861601,0.299995328,0.201451289,0.24556247,0.627979387,0.301997035,0.321728523,0.554110323,0.575514587,-0.069743123,-0.493769651,-0.688722538,-0.700263205,0.079372607,-0.64511089,0.020518179,0.669098252,0.675238763,0.092906593,0.633408642,0.042276447,0.745019222,0.87270984,0.537085207,0.704323588,0.067631522,0.756876675,1,0.564294247,0.706049602,0.535715026,0.696872874,0.595714144,0.086842828,0.324789229,0.005675124,0.454802875,0.027905875,0.379623682,0.003119408,0.159848905,0.035643053,0.67373079,0.499747443,0.029112254,0.760180199,0.374414825,0.39201357,-0.718544582,-0.668678377,-0.651780767,-0.671301953,0.721946342,0.319015666,0.298058593,0.576897332,0.020806907,0.54925327,-0.096027155,-0.249274895,0.002403174,0.219158711,-0.057690353,0.531928234,0.070684679,0.439890732,-0.0147141,0.378469537,-0.24222819,-0.687377101,-0.011463388,0.088808618,0.007871595,0.026321349,-0.182614574,-0.019486622,0.083715823,0.176300169,0.024663167,-0.240124018,0.400984969
Tosh,,Injury Death Rate,-0.038368242,0.655058465,0.559000432,0.323518787,0.687052938,-0.26562798,-0.128619246,0.064282897,-0.096945247,0.211061907,-0.097409687,0.170532178,0.015474341,0.036649242,-0.210542443,0.36791751,-0.210874832,-0.121521878,-0.240409967,-0.264679982,-0.051403067,-0.258450682,-0.010266314,0.037622067,0.410794448,0.138710597,0.466988865,-0.266725412,0.104548439,-0.296339733,-0.173193505,-0.24943402,-0.275533797,-0.27721863,-0.261937763,0.058461801,-0.093853826,0.039316521,0.141002089,-0.168381309,-0.189856498,-0.112554553,-0.104361053,-0.234918779,-0.120228759,-0.214570863,-0.201685238,-0.348411984,0.276819953,-0.28783625,-0.27783414,-0.144211245,-0.275464858,-0.28657031,-0.056831282,0.090271742,0.37071951,0.103166815,0.132449166,-0.284454601,-0.206021413,-0.10009432,-0.264799446,-0.293723817,-0.04589644,-0.289853323,0.513596572,-0.189570995,-0.098098683,-0.248420788,1,-0.255731435,-0.44932927,-0.34889948,-0.37013585,0.065252732,0.009458895,-0.069432993,-0.121340295,0.074807539,-0.286071849,0.022692703,-0.574711044,-0.571753073,0.041440454,-0.656596825,-0.265180932,0.607260149,0.575537381,0.250086737,0.633347135,-0.290294214,0.570586111,0.543732853,0.627121234,0.475808633,-0.252121909,0.500252986,0.548316993,0.698795016,0.468164322,-0.176850086,-0.021793485,0.44654442,-0.190275216,-0.140939103,-0.259741508,0.249524342,-0.327900655,0.024468459,-0.292446068,0.613387508,-0.288087516,0.788037132,-0.340133938,-0.271097476,0.379158862,-0.104623625,0.282238388,-0.280927948,-0.52668995,-0.021891449,-0.416160743,0.019975472,-0.19512492,-0.033130421,0.511351347,-0.276449425,0.720598013,-0.304068428,0.420589668,-0.25919011,-0.294315774,-0.347170719,0.571771845,-0.198773681,-0.061046806,-0.252007578,0.307408532,-0.25565204,-0.361123523,-0.2644886,-0.143250808,-0.286374782,-0.377879477,-0.305519037,0.464231733,-0.246216913,-0.340148378,0.024897236,-0.325793296,0.567358203
Tosh,,Age-Adjusted Mortality (Black),0.089694906,0.632894782,0.908275575,0.385104376,0.505161306,0.365527224,0.475405146,0.484110394,0.16120041,0.470500478,-0.062348763,0.139261521,0.422694077,0.292976906,-0.230435396,0.481251989,-0.278771532,-0.543564277,-0.174954819,-0.199667126,-0.029300169,-0.210660116,-0.029124518,0.472176289,0.577994696,0.39733833,0.388418425,-0.192586067,0.464053649,-0.278606066,-0.330150781,-0.226554316,-0.256241489,-0.234924577,-0.305503572,0.078781838,-0.136959709,-0.154622312,0.08670025,-0.293852535,-0.170894582,-0.152243881,-0.30066587,-0.213600998,-0.053526837,-0.081199177,-0.204283709,-0.274245537,0.064146875,-0.28296219,-0.24796219,-0.524652858,-0.219843725,-0.262214004,0.327465253,0.571849927,0.417794923,0.322580533,0.42159674,-0.529984593,-0.581084217,0.303735423,-0.19262645,-0.248390531,0.329475502,-0.252162912,0.544023219,-0.126750599,0.187462341,-0.211062035,0.575537381,-0.283405705,-0.033183041,-0.112941939,0.064110863,0.283660246,0.222347009,0.046636493,0.120283934,0.394500692,-0.260499334,-0.208873838,-0.614637363,-0.949531825,-0.178230387,-0.456025264,-0.211666021,0.643151032,1,0.37430015,0.508416742,-0.183269555,0.315642265,0.575172318,0.555582815,0.249157503,-0.114951697,0.423250543,0.675238763,0.501797756,0.364282693,0.457327357,0.528822848,0.433997599,-0.138006494,-0.157156049,-0.221874357,0.315863147,-0.22883408,-0.049152256,-0.144295198,0.336475012,-0.211404145,0.568155821,0.044977816,-0.201527049,0.428127029,0.013176362,0.312900412,-0.561027913,-0.647998412,-0.229600878,-0.522705127,0.500819045,-0.063490794,0.036757372,0.488320507,-0.184801243,0.344895331,-0.281864616,0.200430104,-0.212079894,-0.07769448,-0.155183499,0.496533552,-0.167691904,0.075918709,-0.22549557,0.060953381,-0.289091655,-0.458491103,-0.266979803,-0.142600026,-0.198825132,-0.118215106,-0.337313331,0.186813115,-0.155635038,-0.152744386,0.066263593,-0.423619835,0.434505735
Tosh,,YPLL Rate (Black),0.04426184,0.622979229,1,0.247851758,0.479153701,0.223081745,0.362352722,0.436432172,0.056595136,0.388424699,-0.129246388,0.029403058,0.322564584,0.247601326,-0.175562658,0.411127842,-0.228109135,-0.520675024,-0.158798598,-0.183903972,0.050267429,-0.184703858,-0.06733925,0.363166378,0.503682793,0.263208297,0.372275912,-0.168191831,0.327533087,-0.241253432,-0.329060513,-0.196721213,-0.250191651,-0.204581809,-0.312471993,0.012654903,-0.207101478,-0.257622598,0.041017115,-0.213557508,-0.162187727,-0.107844445,-0.236113267,-0.18266528,-0.050150054,-0.057796344,-0.193200714,-0.237321815,0.199730165,-0.242790759,-0.214879063,-0.392915713,-0.188936787,-0.226592295,0.358587398,0.494091463,0.357133419,0.296879567,0.436484436,-0.452825785,-0.482388861,0.212594609,-0.16822665,-0.214474746,0.205647913,-0.222126774,0.507883688,-0.113132234,0.0899211,-0.185639555,0.559000432,-0.20167105,-0.109014758,-0.156576182,-0.041741433,0.267098145,0.253828139,0.037860862,0.081111894,0.352253611,-0.224997172,-0.121717739,-0.56680144,-0.900399181,-0.101497133,-0.410504157,-0.185333192,0.589229348,0.908275575,0.233420452,0.470378474,-0.158035753,0.366808353,0.760844963,0.464775627,0.23625851,-0.095688145,0.479639814,0.717480246,0.514746751,0.406700124,0.343837618,0.456644884,0.448696657,-0.119513165,-0.204782278,-0.192655671,0.330689881,-0.205966084,-0.178160205,-0.122403674,0.35067028,-0.188873284,0.578323147,-0.010776981,-0.177143025,0.312785809,-0.028310782,0.382815616,-0.475797958,-0.540238846,-0.242073006,-0.462186223,0.378955164,-0.036824025,0.077450998,0.487801186,-0.15830339,0.322726579,-0.242253241,0.264607457,-0.18513788,-0.12630795,-0.167506068,0.540068979,-0.143689964,0.049429189,-0.198480476,-0.043924788,-0.241921019,-0.398516262,-0.230380135,-0.132885396,-0.173467234,-0.216313298,-0.292063019,0.282439542,-0.13326201,-0.234520444,0.189396506,-0.377908233,0.441839519
