,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
Age-Adjusted Mortality,0.03978171,0.941469513,0.56810706,0.447248994,0.799207567,0.105185789,0.233959739,0.314683381,0.25959887,0.233975764,0.047634346,0.276252036,0.395865081,0.244667315,-0.423195632,0.457117125,-0.28244999,-0.172068544,-0.186008857,-0.203331576,-0.064993526,-0.190335881,0.012100688,0.288543705,0.504413043,0.254104336,0.581895477,-0.216364843,0.060564106,-0.330367688,-0.305990736,-0.20850513,-0.106123286,-0.245706903,-0.238965654,0.249931178,-0.044223585,0.079269831,0.258393132,-0.187902963,-0.017041432,-0.15071541,-0.220721185,-0.135663849,-0.111528853,-0.127578637,-0.092664802,-0.328576384,0.071340111,-0.212981783,-0.204346314,-0.221729285,-0.172155957,-0.223827102,0.333124681,0.38104157,0.364992223,0.1188735,0.295430875,-0.389531977,-0.362503926,0.131201784,-0.172112916,-0.211409129,0.241732279,-0.168998215,0.25509363,-0.114353954,0.199866272,-0.158193701,0.595182679,-0.054811248,-0.158811278,-0.118461642,-0.23217777,0.11508401,0.172833489,0.059704991,0.07662947,0.264085969,-0.209912781,-0.036752336,-0.956197137,-0.627855992,-0.177690401,-0.83719796,-0.083928869,1,0.577826834,0.427183527,0.88643118,-0.344782698,0.516699402,0.619134897,0.62377551,0.619495849,-0.432290062,0.64496671,0.648051948,0.702955665,0.57771261,0.212046033,0.299791726,0.383495306,-0.220098114,0.064105188,-0.123404268,0.430327597,-0.150063048,0.139478218,-0.50799925,0.470923265,-0.251384592,0.473108084,0.075706888,-0.238755521,0.036429497,-0.052831254,0.366198305,-0.428222028,-0.599482929,-0.283230155,-0.495528268,0.235590047,-0.118912185,0.032009395,0.557462972,-0.35122444,0.565165154,-0.183917764,0.148459318,-0.174044336,-0.058155271,-0.196581495,0.302237321,-0.002315908,0.255325758,-0.195786062,0.130441795,-0.232900757,-0.278288992,-0.237302937,-0.182600019,-0.34171297,-0.307920717,-0.124125212,0.257604073,-0.36021896,-0.328337576,-0.014259298,-0.126280881,0.266690461
Years of Potential Life Lost Rate,0.067503678,1,0.604610552,0.476662048,0.842904165,0.064927273,0.227930688,0.366113308,0.203783938,0.228839677,0.000903899,0.257097911,0.415806448,0.245957273,-0.40286833,0.4764158,-0.303200325,-0.240235792,-0.238669908,-0.247061803,-0.094562346,-0.310962049,-0.093131887,0.230772521,0.470000342,0.181704517,0.544251822,-0.322072115,0.082879848,-0.359249537,-0.245799548,-0.322058397,-0.185903135,-0.336654129,-0.244303231,0.239043757,-0.046760031,0.019729489,0.25331555,-0.161713691,-0.058527349,-0.118340459,-0.193696664,-0.136864993,-0.084014629,-0.17676815,-0.131672083,-0.414399542,0.206563947,-0.323857439,-0.319804548,-0.278315915,-0.268750502,-0.32752975,0.345238833,0.384353324,0.371530934,0.173273926,0.407526142,-0.392154852,-0.378927747,0.132056391,-0.286448601,-0.323972797,0.217246669,-0.257343182,0.32422616,-0.22738186,0.108083649,-0.20193753,0.680650828,-0.082277009,-0.168052577,-0.135177911,-0.246118048,0.219659732,0.179827922,0.069479606,0.00346307,0.198466606,-0.313325058,0.025588378,-0.929442256,-0.632615955,-0.118522887,-0.809066123,-0.174445572,0.941469513,0.585676317,0.392736296,0.831618898,-0.374519236,0.567386108,0.668621701,0.633061224,0.610688978,-0.46521224,0.678245805,0.685714286,0.711330049,0.598240469,0.200888854,0.334807079,0.466746174,-0.29216451,0.026976459,-0.20541986,0.459345791,-0.265498571,0.04032597,-0.537940808,0.49659182,-0.278362719,0.543177154,0.021025286,-0.347506986,0.103564575,-0.09401402,0.354323937,-0.392997201,-0.632110844,-0.318160813,-0.57250431,0.182192642,-0.121213456,0.021940618,0.579457779,-0.375913204,0.65030607,-0.271302916,0.251688675,-0.257067459,-0.05347439,-0.240842328,0.436973771,-0.085081903,0.206579101,-0.291748848,0.170422782,-0.325119033,-0.285288332,-0.319878692,-0.198313743,-0.483009053,-0.368300346,-0.178014896,0.338365129,-0.485534424,-0.361884011,-0.023445945,-0.149175432,0.410555963
Age-Adjusted Mortality (White),0.153419167,0.831618898,0.467304397,0.328755116,0.931309897,0.243423645,0.318215405,0.329650694,0.227610965,0.16382846,0.030090564,0.228324416,0.454735781,0.305928523,-0.313116166,0.398014532,-0.315096283,-0.213499776,-0.331055887,-0.342577831,-0.122578587,-0.340899565,-0.018211235,0.469950739,0.411996484,0.325273372,0.715275223,-0.396141961,0.227001791,-0.40444064,-0.332404541,-0.394730244,-0.278130935,-0.437351293,-0.319634231,0.282831868,-0.065101232,0.14334433,0.306152638,-0.324039006,-0.001346426,-0.158150205,-0.371251427,-0.179359533,-0.104289876,-0.208580827,-0.190784699,-0.467606608,0.08293627,-0.421766682,-0.386773832,-0.450817286,-0.347316437,-0.432033139,0.451699507,0.427163998,0.336368332,0.135674244,0.480851275,-0.492505598,-0.394760854,0.06710927,-0.354458128,-0.401764442,0.277980296,-0.394168957,0.247122705,-0.262070741,0.209793999,-0.32313839,0.636609942,-0.281200694,-0.163170622,-0.246206897,-0.041466637,0.179497198,0.079028213,-0.005414909,0.039686428,0.197849091,-0.424997999,-0.115861516,-0.83809897,-0.50750773,-0.156556416,-0.954094774,-0.295458769,0.88643118,0.461659272,0.315893784,1,-0.350762167,0.474800944,0.588709677,0.543367347,0.604200461,-0.402377724,0.557994637,0.528571429,0.636945813,0.609970674,0.300136588,0.336842812,0.326361542,-0.315065019,0.011719714,-0.331700621,0.268200556,-0.298510972,0.081424093,-0.482359179,0.487434043,-0.340549831,0.527338011,0.134424541,-0.4164219,0.129059561,-0.103573564,0.425417092,-0.480483654,-0.486723113,-0.307868683,-0.568022839,0.294142409,-0.108164641,0.02357891,0.49611129,-0.368644864,0.598538598,-0.399111061,0.141115092,-0.383814545,-0.183531124,-0.170257501,0.291560681,-0.202836212,0.106625616,-0.380465042,0.194872369,-0.370103247,-0.240765786,-0.396839356,-0.21299273,-0.445727721,-0.155812808,-0.351854008,0.141887595,-0.395408188,-0.177086879,-0.183282579,-0.329321541,0.264604913
YPLL Rate (White),0.108396776,0.842904165,0.46763388,0.30298089,1,0.20468652,0.28330721,0.306977161,0.144338415,0.154973253,-0.007266841,0.190070409,0.372339901,0.24391886,-0.255543252,0.38073628,-0.326558442,-0.269581281,-0.370334901,-0.37084429,-0.134738139,-0.413707833,-0.07772777,0.397507837,0.322516512,0.272858356,0.65106658,-0.441260636,0.25153605,-0.444069362,-0.343341253,-0.436897034,-0.304532825,-0.464478286,-0.327843915,0.240863593,-0.076951038,0.076162854,0.252034221,-0.272777053,-0.014387712,-0.127000117,-0.311391773,-0.180387045,-0.030696802,-0.215014696,-0.194225642,-0.523390563,0.179093616,-0.475725481,-0.450155005,-0.425568742,-0.399322882,-0.472021944,0.420647112,0.390497863,0.337385796,0.146911842,0.483634142,-0.458468428,-0.334011794,0.008842365,-0.419699955,-0.457384684,0.204039409,-0.43124844,0.294048365,-0.331800052,0.12132781,-0.354688881,0.69919167,-0.288552552,-0.184621585,-0.284899239,-0.056182266,0.218570413,0.007080161,-0.002601969,-0.042297459,0.107398781,-0.471830761,-0.038221559,-0.771334528,-0.483277675,-0.082886274,-0.918892646,-0.341728673,0.799207567,0.462131529,0.264471013,0.931309897,-0.374944736,0.496937844,0.585410557,0.518673469,0.579612396,-0.395157887,0.575450865,0.584415584,0.627586207,0.639662757,0.265326914,0.30487013,0.372355213,-0.359419214,-0.039299755,-0.378840278,0.227918912,-0.365369458,0.024059561,-0.480354524,0.503713113,-0.366320358,0.593060619,0.052333184,-0.460558835,0.206204657,-0.118248242,0.429230507,-0.428634124,-0.455639436,-0.287318951,-0.547167488,0.279959695,-0.115922958,0.009874464,0.50628287,-0.394090535,0.682198358,-0.433031796,0.220161218,-0.427765655,-0.240080609,-0.185340349,0.373425884,-0.26878124,0.043649798,-0.412682205,0.236943574,-0.430769799,-0.295351545,-0.446783144,-0.258026342,-0.499879086,-0.163152709,-0.373831169,0.169144648,-0.437714573,-0.172382445,-0.154243171,-0.307657859,0.365495082
Infant Mortality Rate (Hispanic),0.191625616,0.711330049,0.544334975,0.426108374,0.627586207,0.505418719,0.425123153,0.316256158,0.368965517,0.180788177,0.220197044,0.417241379,0.595566502,0.441488065,-0.299568681,0.693616162,-0.384236453,-0.373399015,-0.124399558,-0.055186008,-0.142364532,-0.227586207,0.155665025,0.643842365,0.546305419,0.678325123,0.6408867,-0.325123153,0.455172414,-0.254711173,-0.089655172,-0.265796282,0.261083744,-0.166297123,0.378325123,0.21182266,0.100985222,0.097044335,0.191625616,-0.042379996,0.108102435,0.003225493,-0.082983759,-0.286703026,-0.231455818,-0.275243114,-0.30533731,-0.279802956,-0.221483131,-0.373399015,-0.332512315,-0.686699507,-0.35270936,-0.386206897,0.025615764,0.45522848,0.500273673,0.401477833,0.516256158,-0.497536946,-0.342857143,-0.057635468,-0.242364532,-0.288669951,0.491133005,-0.221702182,0.457635468,-0.071921182,0.497536946,-0.161576355,0.644334975,-0.386667845,0.052216749,-0.025615764,0.1591133,0.403448276,0.098029557,0.033990148,0.435960591,0.456157635,-0.344827586,-0.368271957,-0.728078818,-0.558128079,-0.360098522,-0.630541872,-0.137931034,0.702955665,0.550246305,0.404433498,0.636945813,-0.163340729,0.780295567,0.4743083,0.78226601,0.673399015,-0.078817734,0.823152709,0.581011352,1,0.637438424,0.409852217,0.403448276,0.322159319,-0.272906404,0.040394089,-0.248768473,0.260569553,-0.184729064,0.355665025,-0.153505,0.37044335,-0.134006652,0.607389163,0.287684729,-0.276847291,0.444334975,0.534975369,0.333990148,-0.452216749,-0.444827586,-0.436945813,-0.474384236,0.492118227,0.342364532,0.238423645,0.605791859,-0.12022666,0.664203026,-0.308866995,-0.17635468,-0.32364532,-0.006403941,0.176847291,0.357635468,-0.170935961,0.122660099,-0.2408867,0.457635468,-0.414285714,-0.405418719,-0.123152709,0.468965517,-0.357635468,0.028078818,-0.273891626,-0.017241379,-0.326600985,-0.030049261,-0.106896552,-0.267487685,0.080295567
Infant Mortality Rate (Black),0.183116883,0.685714286,0.698701299,0.209090909,0.584415584,0.606493506,0.523376623,0.594805195,0.092207792,0.450649351,-0.403896104,0.022077922,0.635064935,0.584145672,-0.568921157,0.738141806,-0.605194805,-0.676623377,-0.379343963,-0.297402597,-0.290909091,-0.337662338,0.245454545,0.687012987,0.675324675,0.702597403,0.628571429,-0.441558442,0.766233766,-0.525974026,-0.225974026,-0.509090909,-0.04025974,-0.393634318,0.020779221,0.154545455,-0.072727273,-0.546753247,0.194805195,0.042359347,0.198767679,-0.171358261,-0.045054563,-0.057999721,-0.047059829,-0.298404857,0.018301044,-0.464935065,-0.366233766,-0.531168831,-0.490909091,-0.827272727,-0.47012987,-0.541558442,0.249350649,0.644365088,0.650649351,0.568831169,0.736363636,-0.7,-0.638961039,0.374025974,-0.376623377,-0.450649351,0.632467532,-0.306493506,0.680519481,-0.185714286,0.387012987,-0.431168831,0.484415584,-0.492832975,0.364935065,0.322077922,0.231168831,0.637662338,0.385714286,0.251948052,0.57012987,0.533766234,-0.490909091,-0.524675325,-0.677922078,-0.685714286,0.066233766,-0.541558442,-0.394805195,0.648051948,0.62987013,0.15974026,0.528571429,-0.348165007,0.781818182,0.858441558,0.458646617,0.787012987,-0.232467532,0.774025974,1,0.581011352,0.714285714,0.544155844,0.638961039,0.627234617,-0.358441558,0.216883117,-0.446753247,0.5219372,-0.241558442,0.276623377,-0.411688312,0.12987013,-0.414420288,0.724675325,0.428571429,-0.42987013,0.751948052,0.367532468,0.328571429,-0.646753247,-0.668831169,-0.637662338,-0.648051948,0.650649351,0.312987013,0.223376623,0.545454545,-0.414285714,0.520779221,-0.5,-0.187012987,-0.44025974,0.290909091,-0.097402597,0.566233766,-0.332467532,0.450649351,-0.433766234,0.324675325,-0.632467532,-0.749350649,-0.385714286,0.205194805,-0.496103896,0.01038961,-0.548051948,0.11038961,-0.364935065,0.158441558,0.079220779,-0.222077922,0.353246753
Infant Mortality Rate,0.017286511,0.678245805,0.521474359,0.05791065,0.575450865,0.081829563,0.119639854,0.225736289,0.249383528,0.285422038,-0.185673274,0.353137389,0.396148156,0.300850043,-0.374887074,0.458728828,-0.362333869,-0.176443809,-0.233341814,-0.212468621,-0.263701662,-0.310387779,-0.026138419,0.30284905,0.510113767,0.294627478,0.576814764,-0.369491268,0.116832535,-0.270700002,-0.130869131,-0.296251799,-0.060256199,-0.256775142,-0.025404975,0.120600918,-0.055273505,-0.267768568,0.254441761,0.079187155,0.224592517,-0.128817981,0.039238935,-0.058751338,-0.097028897,-0.149187966,-0.074637079,-0.363605324,0.170777369,-0.353987784,-0.342707925,-0.284588829,-0.372450334,-0.35171158,0.110332705,0.160055646,0.457378881,0.197814843,0.402040997,-0.262256731,-0.192732538,-0.02573376,-0.314482985,-0.351433377,0.234335285,-0.183277161,0.558416267,-0.195948253,0.303759532,-0.207304273,0.545897141,-0.120711768,-0.246070385,-0.188811189,-0.194248789,-0.026998318,0.306870345,0.212269585,0.136787423,0.38887218,-0.314053036,-0.119011337,-0.6751097,-0.516127622,0.165435024,-0.580077817,-0.168932333,0.64496671,0.446245421,-0.099716155,0.557994637,-0.149885542,0.832142541,0.57441349,0.605573543,0.758847539,-0.110154546,1,0.774025974,0.823152709,0.862536657,0.088455848,0.214785215,0.473727859,-0.228146162,0.070335173,-0.210966249,0.484507741,-0.350927553,-0.053199965,-0.174884262,0.268656716,-0.20178567,0.510717131,0.18969638,-0.357796367,0.237597845,0.031247234,0.281637652,-0.174268769,-0.47778969,-0.243256743,-0.42849256,0.112785948,0.125348336,0.327862011,0.472246699,-0.204579072,0.610306981,-0.292403799,0.096068488,-0.287699642,-0.115138027,-0.200445124,0.447666258,-0.05006386,0.308691309,-0.275828928,0.242984863,-0.288205465,-0.194400536,-0.247747321,-0.04027618,-0.492684531,-0.398550816,-0.170778589,0.363598427,-0.449199213,-0.299333578,-0.041844232,-0.094551019,0.323638387
Child Mortality Rate (Hispanic),0.30877551,0.633061224,0.470383275,0.439387755,0.518673469,0.317959184,0.261632653,0.17744898,0.213979592,0.333345079,0.086020408,0.324897959,0.389285714,0.209129653,-0.086330265,0.544062873,-0.417040816,-0.172040816,-0.378463906,-0.358533417,-0.132959184,-0.440714286,0.007040816,0.543367347,0.576109937,0.547142857,0.509489796,-0.482857143,0.414693878,-0.462343099,-0.171326531,-0.489119067,-0.044387755,-0.426625168,0.021938776,0.327040816,0.107246377,0.26122449,0.290204082,-0.192066587,-0.097837763,-0.181027979,-0.168658027,-0.29627455,-0.218247219,-0.324557218,-0.347861848,-0.508941555,-0.102059043,-0.570102041,-0.513571429,-0.587755102,-0.515510204,-0.566122449,0.161938776,0.402755457,0.437783147,0.270306122,0.331938776,-0.355204082,-0.313265306,0.183673469,-0.444693878,-0.499183673,0.274897959,-0.456860044,0.506836735,-0.349183673,0.288979592,-0.407306309,0.646020408,-0.468183093,0.042244898,-0.08244898,0.136632653,0.38622449,0.067142857,0.20620155,0.104795918,0.276734694,-0.548673469,-0.141180673,-0.641938776,-0.545907581,-0.218979592,-0.531632653,-0.395306122,0.62377551,0.556275829,0.304591837,0.543367347,-0.385090317,0.795102041,0.443897099,1,0.544072948,-0.339587731,0.605573543,0.458646617,0.78226601,0.534677419,0.267244898,0.263877551,0.279201604,-0.470573229,-0.133877551,-0.479693878,0.124448089,-0.476326531,-0.01377551,-0.360065917,0.364295125,-0.362179816,0.667653061,0.005918367,-0.489591837,0.509489796,0.258163265,0.433857539,-0.354897959,-0.40295267,-0.266326531,-0.384897959,0.319285714,0.317959184,0.087653061,0.337204297,-0.458425823,0.475096968,-0.548979592,0.044693878,-0.495816327,-0.015510204,-0.009285714,0.389591837,-0.433571429,-0.11244898,-0.471734694,0.356938776,-0.527040816,-0.436326531,-0.45628715,-0.080612245,-0.507040816,-0.01877551,-0.525816327,0.088367347,-0.49755102,-0.154591837,-0.209591837,-0.27755102,0.327959184
Child Mortality Rate (White),0.063860668,0.610688978,0.415019763,0.147420814,0.579612396,0.278835482,0.306497055,0.308289934,0.046529497,0.215258304,-0.140186118,0.290446512,0.476479126,0.365961454,-0.313155888,0.523727191,-0.541620422,-0.167250064,-0.377532514,-0.364137052,-0.250405532,-0.417826347,0.056945274,0.433364638,0.417823003,0.366345087,0.664048493,-0.459404081,0.299325536,-0.486178413,-0.305301801,-0.469978015,-0.18304448,-0.478568991,-0.183385981,0.243404764,-0.038753799,-0.187227866,0.35627081,-0.052578861,0.224834252,-0.044559,-0.109453491,-0.314565276,-0.149774654,-0.403670043,-0.341969539,-0.486819919,0.028049952,-0.503116196,-0.456842824,-0.512165969,-0.479723384,-0.515495603,0.197814394,0.302644782,0.419426457,0.224451464,0.576880389,-0.449159054,-0.330750678,0.029198327,-0.442755912,-0.474088619,0.20379066,-0.4108782,0.518483736,-0.399812175,0.137624861,-0.422701757,0.492188167,-0.221352866,-0.133526851,-0.170579698,-0.037223598,0.27029796,0.170408947,0.007978723,0.081277213,0.196192265,-0.485358149,-0.142753469,-0.616835994,-0.429787234,0.178178093,-0.605993341,-0.370443097,0.619495849,0.380368906,0.022986425,0.604200461,-0.346012638,0.823870913,0.728629032,0.544072948,1,-0.370128469,0.758847539,0.787012987,0.673399015,0.837609971,0.28959276,0.343635277,0.46902566,-0.386501889,-0.075386323,-0.425339367,0.354795361,-0.369845471,0.15802954,-0.467006905,0.196632653,-0.37133648,0.588320669,0.105267651,-0.438155002,0.407495945,-0.000341501,0.322244898,-0.379578246,-0.389049774,-0.319474089,-0.48962691,0.203363784,0.212925809,0.068044054,0.276848866,-0.403628994,0.514271085,-0.469392982,0.110987791,-0.465636472,-0.159310168,-0.183812858,0.372662853,-0.268590455,0.124989328,-0.432596261,0.39434816,-0.492188167,-0.450951934,-0.358925103,0.059250406,-0.534448903,-0.288141381,-0.398616921,0.297703406,-0.457525826,-0.232305985,-0.198838897,-0.101511141,0.419363101
Child Mortality Rate (Black),0.032991202,0.668621701,0.642228739,0.310483871,0.585410557,0.455278592,0.548387097,0.552052786,0.163489736,0.231304985,-0.089442815,0.385630499,0.552785924,0.539103385,-0.387772554,0.682309819,-0.605571848,-0.506231672,-0.623831358,-0.560117302,-0.350439883,-0.558651026,-0.014296188,0.67558651,0.432184751,0.393695015,0.631964809,-0.618768328,0.406158358,-0.647360704,-0.417155425,-0.638313485,-0.209677419,-0.6293309,-0.255131965,0.219941349,-0.203445748,-0.464076246,0.208577713,-0.074632676,-0.048538581,-0.078814974,-0.164644234,-0.279861272,-0.202574406,-0.427602088,-0.270787831,-0.668621701,0.078079179,-0.652492669,-0.644794721,-0.67888563,-0.620967742,-0.654692082,0.400293255,0.517276146,0.621334311,0.273826979,0.707478006,-0.563049853,-0.54398827,0.315982405,-0.596774194,-0.651392962,0.441715543,-0.592979564,0.628665689,-0.509164223,0.201979472,-0.607404692,0.546187683,-0.489527529,-0.12170088,-0.1521261,-0.121334311,0.560117302,0.275659824,0.080278592,0.21957478,0.224340176,-0.628665689,-0.357404692,-0.650293255,-0.570381232,-0.083944282,-0.542521994,-0.556085044,0.619134897,0.532258065,0.212903226,0.588709677,-0.591200743,0.684017595,1,0.443897099,0.728629032,-0.552785924,0.57441349,0.858441558,0.4743083,0.657435897,0.519061584,0.499266862,0.724372015,-0.601906158,-0.123900293,-0.648093842,0.414052642,-0.53372434,0.34127566,-0.524702572,0.191935484,-0.596462288,0.661656891,0.273460411,-0.636363636,0.296187683,-0.008797654,0.443826474,-0.529325513,-0.602639296,-0.467008798,-0.570381232,0.435117302,0.219941349,0.177052786,0.33654294,-0.604344242,0.57066912,-0.622067449,0.126832845,-0.64186217,-0.060117302,-0.307184751,0.631964809,-0.589442815,0.03702346,-0.61840176,0.0271261,-0.740469208,-0.782624633,-0.556085044,-0.116202346,-0.612536657,-0.223607038,-0.679618768,0.238636364,-0.648826979,-0.31744868,0.091642229,-0.274560117,0.500733138
