URCS,URCS Name,County,FIPS,URCS description,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
Rural,Micropolitan,Anderson,48001,Counties in micropolitan statistical areas,10272.949118,12962.159784,10880.315229,9971.5405726,19.529584587,3.9261302641,3.6428470452,7.2498791687,11.444921316,4.4284243048,6.8664169788,18.465774675,34.4,5.8,25.2,28.56580793,18.561601613,14.0,49.0,28.571428571,224.0,389.0,49.492775899,46.068796069,61.915367483,45.486111111,6394.0,17.587677073,20.0,34.64163,21.0,36.3693,24.0,41.56492,6016.0,8528.0,4174.0,5765.0,39.0,38.0,33.0,39.0,44.0,35.0,33.0,45.0,557.0,93.9,7526.0,,40.353887399,843.0,23262.0,3.623936033,23.4,44.43134944,27.255985267,15.403109473,83904.0,19474.0,4.308513916,3639.0,11186.0,32.531736099,66.0,11.431738664,240.5,416.60892461,225.0,77.957175525,9.9,15.446668659,10.453172205,4.3023603227,1.2249775919,85.067105193,82.663714015,81.071311206,86.307537064,16036.0,26.8,73.773772076,70.933226219,82.901505892,74.097054675,1075.0,544.0,721.90504138,,516.08293896,21.0,46.941010796,,,,,,,,,12.117430762,11.45540501,10.7,,,11160.0,19.3,9059.4342698,15.497338722,24.0,13.868423334,78.0,19.253649554,35.247322041,1310.0,11.295050871,41.56492,13.952483801,42412.0,24427.0,37635.0,48013.0,61.487414188,36.373890248,35.088489525,5.4,41.0,14.2,11748.0,70.912054083,1560.0,9.8853051137,19.58054069,14.535598621,,,391.0,0.6771618088,520.0,0.9005732495,83.0,0.1437453456,10287.0,17.815763496,34140.0,59.126097574,1488.0,2.7158736243,39.067560312,,67.063532793
Rural,Micropolitan,Andrews,48003,Counties in micropolitan statistical areas,7952.9732511,,7774.1443291,8202.8968382,17.307709917,3.3028106698,3.1980569141,6.3138347261,,5.9120403749,7.1526822558,13.337848434,32.2,8.1,24.0,93.865819018,,,54.0,,48.0,265.1,68.035330628,,81.191806331,44.170890659,2897.0,18.213252861,7.0,39.414410000000004,4.0,22.570819999999998,2.0,11.285409999999999,5914.0,,5743.0,5926.0,28.0,,28.0,29.0,21.0,,18.0,22.0,238.0,95.1,1875.0,4738.0,39.573659772,276.0,9011.0,3.062923094,17.5,,17.286084702,5.2295177223,,,4.7655152331,1201.0,5473.0,21.944089165,15.0,8.4459459459,89.5,493.88847502,76.0,86.498298487,7.3,14.429223744,5.7011070111,7.5799086758,1.5525114155,79.845251466,,76.215964626,84.073641146,6398.0,27.1,76.75679483,,78.761703528,75.78168331,193.0,398.9,,361.69254488,433.60921763,,,,,,,,,,,10.21117636,9.8698827266,8.6,11.0,79.3,1470.0,8.5,1729.5211976,11.697018786,,,51.0,,31.749209974,701.0,12.174366099,62.06974,,,38359.0,,73648.0,42.284417549,27.581508252,11.477964138,,12.0,13.7,3981.0,73.545169038,396.0,7.6271186441,30.899447015,10.534928338,246.0,1.38810518,260.0,1.4671030358,133.0,0.7504796298,4.0,0.0225708159,9958.0,56.19004627,7131.0,40.238122108,1184.0,7.4083343762,49.035097619,2440.0,16.502096578
Rural,Micropolitan,Angelina,48005,Counties in micropolitan statistical areas,9018.4985132,14014.161619,4450.7048295,9293.1296588,23.207340361,4.2239472614,4.0705456431,8.769193858,14.041604755,8.0528334043,7.5187969925,18.282138513,,6.1,,64.947966486,18.164063146,17.0,,18.681318681,,551.8,45.806266718,47.093649085,49.493243243,44.147096304,,19.806345397,,59.23158,,47.83327,,126.41649,4711.0,6249.0,3055.0,4697.0,41.0,33.0,30.0,43.0,46.0,36.0,45.0,47.0,,92.5,,,55.025897236,1857.0,,5.0718304474,25.4,48.363741674,29.055085334,19.459508315,87170.0,19111.0,4.5612474491,,,38.399399665,,11.162875466,,311.67123784,,69.241667084,9.8,16.135360471,11.412504135,4.2504495668,1.6347882949,82.94967276,76.175098672,81.248164464,87.015344716,,16.3,76.336820137,72.360091892,89.407684302,75.875435564,,454.5,676.50474806,206.20917479,466.55240595,,55.887348638,,,,,5.4919373685,,,,13.030222427,12.57017879,13.6,140.0,195.9,,19.9,9501.8377208,10.95047622,,12.886060693,,19.859744623,34.799078495,,10.25498417,64.91658,12.443438914,45318.0,28509.0,41673.0,51631.0,66.141375205,41.690905767,36.670375468,6.3,,13.2,,66.030842844,,12.486915414,25.809464154,15.7918114,,14.786173908,662.0,0.7539433973,1023.0,1.1650817152,56.0,0.0637776892,19475.0,22.179830306,,60.661693525,3650.0,4.4715596555,51.333067593,,43.082366228
Rural,Micropolitan,Bee,48025,Counties in micropolitan statistical areas,8026.9413978,,9362.2770525,6933.4249023,22.989979705,3.9145216564,3.4694868159,9.6701649175,22.222222222,9.511698881,9.1051805338,16.565025289,28.6,7.1,24.1,50.88980258,19.535129754,6.0,28.0,21.428571429,214.0,651.0,59.514608131,,68.434032059,34.702549575,3916.0,18.212259325,7.0,21.37405,11.0,33.78067,13.0,39.92261,6958.0,,8299.0,5998.0,30.0,,29.0,31.0,29.0,17.0,25.0,31.0,346.0,88.1,3687.0,10429.0,35.353341643,641.0,9938.0,6.4499899376,33.7,53.658536585,32.516746411,27.964959569,82369.0,16931.0,4.8649813951,2542.0,6963.0,36.507252621,24.0,7.3282442748,83.5,252.08688695,109.0,66.524666003,9.4,15.98173516,8.922363847,6.4497716895,1.5410958904,80.33589923,,77.212705211,81.785283474,8036.0,31.0,76.733329831,77.261491804,74.661507702,78.824761371,420.0,432.7,,509.26409459,373.32002442,17.0,60.420813193,,,,,,,,,12.496630246,11.031133303,8.6,160.0,580.7,4620.0,14.1,3655.2239147,11.472408006,10.0,10.184647662,43.0,18.820769376,34.133603705,688.0,9.4661529994,52.20649,14.920071048,41392.0,41051.0,40737.0,48678.0,74.377091856,26.798968853,24.016583735,7.4,18.0,11.0,5375.0,63.005509319,878.0,10.947630923,21.447655314,12.124190032,2691.0,8.2639805915,274.0,0.8414458127,209.0,0.641832755,36.0,0.1105549243,19238.0,59.079323158,10161.0,31.204127384,838.0,2.7222817789,39.32377238,13693.0,42.97730768
Rural,Micropolitan,Brown,48049,Counties in micropolitan statistical areas,10125.065713,14450.70167,8482.8899931,10399.726006,18.929353871,3.873110543,3.733653711,9.0597117364,12.962962963,8.2865168539,8.9407191448,17.625602223,32.4,6.4,28.9,65.220700152,17.657417215,5.0,18.0,27.777777778,200.0,527.8,38.163001294,28.213166144,41.666666667,37.987679671,5028.0,17.050425582,20.0,52.25889,14.0,36.79079,62.0,,3097.0,935.0,3101.0,3036.0,36.0,45.0,30.0,36.0,40.0,31.0,39.0,40.0,432.0,96.3,4518.0,8658.0,52.182952183,621.0,16183.0,3.8373601928,24.8,51.03926097,31.154434251,20.031329548,85032.0,19548.0,4.349907919,2373.0,8316.0,28.535353535,63.0,16.461550521,119.0,314.49865215,129.0,68.030080898,8.3,11.282437006,9.3058733791,1.4215870628,0.7145543437,86.317679926,,93.344709898,84.450872119,12977.0,12.5,74.962854266,,78.622810927,74.612701402,718.0,508.3,656.57205885,416.83091623,521.25608571,21.0,61.016358195,,,,29.0,,,,,11.920852695,11.677468841,12.0,46.0,143.7,6370.0,16.8,5231.1362374,13.727854504,,,42.0,15.811288507,33.760491901,813.0,9.1451068616,76.20949999999999,14.782608696,41538.0,33561.0,36399.0,45705.0,61.020848311,46.785578243,28.208271909,4.1,32.0,16.9,10038.0,72.555113842,1298.0,9.8430272238,22.350406013,19.714608572,1291.0,3.3926365858,315.0,0.8277928153,314.0,0.8251649016,29.0,0.0762094973,8505.0,22.350406013,27239.0,71.581741256,474.0,1.3287360188,50.582082884,15395.0,40.40046187
Rural,Micropolitan,Calhoun,48057,Counties in micropolitan statistical areas,7019.5424478,,5363.0063636,8502.3794482,19.456617449,3.6571691203,3.5251636998,7.4457593688,,6.9941715237,7.7265973254,14.584096151,31.1,7.2,23.0,51.419484589,17.421852193,4.0,13.0,30.769230769,80.0,365.4,56.210691824,,68.136932192,41.966426859,3335.0,18.378706051,13.0,59.18507,8.0,36.79176,2.0,9.19794,7010.0,3997.0,7907.0,6936.0,28.0,19.0,22.0,32.0,30.0,24.0,28.0,30.0,316.0,91.6,2612.0,5228.0,49.961744453,606.0,10424.0,5.8135072909,24.2,58.823529412,26.475084072,14.465786315,107550.0,25771.0,4.1732955648,1885.0,5395.0,34.939759036,25.0,11.381743683,101.5,512.48390599,71.0,65.014147445,9.4,15.759849906,8.5227272727,6.5666041276,2.3764853033,82.698596898,,79.05767941,85.31780024,7839.0,21.4,78.655906866,,80.294884557,77.501210276,283.0,363.3,,295.27602683,420.17453397,,,,,,,,,,,11.417356989,10.915307746,11.1,15.0,83.2,2770.0,12.7,2872.9767479,13.437055086,,,33.0,21.673737997,32.619508297,620.0,10.839160839,55.18764,,55240.0,28563.0,53472.0,63471.0,61.77423374,46.534038349,14.224007953,,11.0,10.1,5458.0,70.580628475,578.0,7.9757140886,24.742457689,17.167954378,542.0,2.4926416483,190.0,0.8738042678,,,13.0,0.0597866078,10603.0,48.762877116,9221.0,42.407100809,1058.0,5.1962084377,48.896247241,9564.0,44.731303494
Rural,Micropolitan,Cherokee,48073,Counties in micropolitan statistical areas,9531.8860432,10744.720335,6046.8828122,10263.168627,20.550797458,4.0237276191,3.8852789721,7.6805793787,14.99272198,5.1523545706,7.4659801398,17.53327769,33.3,6.5,29.1,43.548038155,16.338013177,16.0,55.0,29.090909091,274.0,531.6,59.179048099,64.567769477,75.597554197,49.304677623,9108.0,22.536187059,17.0,32.90238,15.0,28.713630000000002,44.0,84.22665,5658.0,7327.0,3700.0,5397.0,39.0,37.0,28.0,40.0,40.0,30.0,24.0,42.0,714.0,88.5,5590.0,12190.0,45.857260049,936.0,20659.0,4.5307130064,25.2,56.413612565,30.670995671,21.208307111,91835.0,19350.0,4.745994832,4451.0,13020.0,34.185867896,53.0,10.257799799,191.0,394.90551214,190.0,73.863857248,10.0,17.230682459,12.230215827,4.7941342358,1.1562323745,80.127287977,75.31280077,79.283054004,80.874706902,16241.0,33.2,75.6220012,74.354558809,98.568606998,74.92232972,830.0,459.6,495.52501603,238.4071296,493.49024047,,83.094122979,,,,,8.1532043989,,,,12.653297031,12.321006793,12.9,117.0,279.4,9850.0,19.2,4351.7855306,8.5589252248,13.0,8.3628176262,93.0,25.863795136,34.30459533,1725.0,12.679162073,40.19908,10.417397404,47147.0,23609.0,44264.0,49014.0,64.334532374,38.39353222,34.383538275,3.6,38.0,14.8,13172.0,73.648308639,1921.0,11.308647789,25.666156202,17.30474732,7261.0,13.899310873,836.0,1.6003062787,306.0,0.5857580398,28.0,0.0535987749,12163.0,23.282924962,31616.0,60.520673813,2630.0,5.481222125,48.968223583,32057.0,63.048480677
Rural,Micropolitan,Cooke,48097,Counties in micropolitan statistical areas,7681.5127329,,4006.6871945,8857.0057593,14.983860476,3.4371805202,3.5163795507,6.5263157895,12.698412698,5.0428163654,6.7869752844,14.850387548,29.1,7.6,24.9,54.593230481,19.20632383,14.0,52.0,26.923076923,126.0,321.2,44.193700047,53.125,69.143932267,35.805626598,6491.0,20.428652357,13.0,33.10752,16.0,40.10528,24.0,60.15791,5624.0,5068.0,2839.0,5564.0,34.0,46.0,25.0,34.0,41.0,37.0,19.0,42.0,409.0,96.4,5028.0,8850.0,56.813559322,671.0,18826.0,3.5642196962,20.6,57.396449704,45.711060948,13.631578947,110865.0,,4.0046597313,2857.0,9089.0,31.433601056,45.0,11.46029644,132.0,342.86604847,161.0,82.303264526,9.8,14.246575342,10.969299759,3.1849315068,1.4726027397,76.840017629,,61.367521368,81.668121578,13948.0,29.4,77.786662561,,89.244958998,76.7823545,573.0,387.8,,264.76228466,416.67004197,21.0,55.540862206,,,,,,,,,10.418944845,10.837733224,10.5,26.0,80.3,6350.0,16.3,908.44765893,2.3634718082,17.0,14.359320889,47.0,17.234930437,30.390133819,1290.0,13.391466833,67.67765,,57382.0,32016.0,45171.0,63624.0,56.777909037,52.581670598,39.127193733,,30.0,15.3,10456.0,68.857425091,1141.0,7.885824867,24.005514475,18.260433638,1231.0,3.0855996992,581.0,1.4563228475,450.0,1.1279608974,21.0,0.0526381752,7242.0,18.152650708,30050.0,75.322722146,1402.0,3.8480540155,50.159167816,22691.0,59.03426386
Rural,Micropolitan,Dawson,48115,Counties in micropolitan statistical areas,8869.7328906,,9586.2151202,7288.2558812,23.368389571,3.965460473,3.5611114911,9.4834232845,,9.7619047619,8.8669950739,15.895652726,29.9,7.5,25.3,68.307670064,18.496236598,2.0,20.0,10.0,41.0,303.3,70.357142857,,78.132927448,44.992743106,2131.0,21.787138329,4.0,30.50873,6.0,46.82744,,,4186.0,6992.0,3145.0,4066.0,26.0,29.0,21.0,30.0,19.0,3.0,14.0,22.0,166.0,96.1,1547.0,3804.0,40.667718191,227.0,4656.0,4.8754295533,30.7,,22.064220183,17.42081448,91758.0,17214.0,5.3304287208,1009.0,3124.0,32.298335467,24.0,18.305239875,59.0,433.75974121,43.0,64.539369015,7.3,7.8014184397,5.3333333333,1.4184397163,1.1820330969,77.775441548,,75.293132328,83.227981458,3699.0,18.6,76.529899552,,75.737238158,78.301469105,178.0,440.2,,464.36794174,381.50589863,,,,,,,,,,,12.569755292,11.354034398,10.2,12.0,113.2,1460.0,11.0,1924.0944966,13.909452011,,,13.0,13.827286555,32.626854115,434.0,12.453371593,46.82744,,42127.0,16250.0,36552.0,52955.0,75.541448842,55.055147059,14.240349467,,,,3085.0,71.099331643,356.0,8.8955522239,26.160930305,14.859907906,679.0,5.299305393,152.0,1.186295169,138.0,1.0770311402,17.0,0.1326777492,7358.0,57.426051666,4528.0,35.339108718,643.0,5.2735175921,45.469445095,2254.0,16.294368539
Rural,Micropolitan,Deaf Smith,48117,Counties in micropolitan statistical areas,7194.4727067,,6763.4394475,8800.1101308,24.232103077,4.0406500458,3.6169022165,7.7473684211,,7.9341317365,6.9970845481,14.989516802,29.2,8.6,22.0,80.817674995,17.541337169,2.0,13.0,15.384615385,83.0,437.9,81.88976378,,92.162554427,36.076662909,3901.0,23.975170549,2.0,10.62135,6.0,31.8539,2.0,10.61797,4273.0,,4437.0,4118.0,30.0,,20.0,37.0,30.0,,20.0,36.0,277.0,89.5,2244.0,4676.0,47.989734816,255.0,8339.0,3.057920614,26.7,,29.230769231,15.730337079,93173.0,23823.0,3.9110523444,1921.0,5944.0,32.318304172,22.0,11.683483802,59.0,310.11826544,57.0,60.006316454,7.0,14.608555287,9.4453507341,5.8111380145,0.8878127522,84.984295724,,84.674264331,89.928598271,7035.0,8.9,78.150195317,,79.789785033,76.38852163,205.0,388.3,,360.79372446,453.44315633,,,,,,,,,,,12.892276309,11.486977423,9.1,12.0,82.9,1410.0,7.4,1762.1501544,9.0963770103,,,31.0,23.14382769,32.523754045,794.0,13.052770015,,,42698.0,36071.0,45674.0,64330.0,80.362959516,35.953267059,17.447171371,,,,3978.0,65.021248774,517.0,8.9819318972,31.641537481,12.380547887,175.0,0.9290719898,328.0,1.741346358,108.0,0.5733701423,16.0,0.0849437248,13762.0,73.062221278,4657.0,24.723932894,1686.0,9.7841225627,50.180505415,3431.0,17.711129465
